particle_number	seed	status	job_id	wall_seconds	acceptance_fraction	effective_sample_size	bridge_ess_fraction	integrated_autocorrelation_time	energy	local_energy_variance	estimator_stderr	maximum_resident_memory_mb	failure_reason	configuration_sha256	project_commit
4	20260791	completed	local-legacy-n4-seed-20260791	54.88857854309026	0.5441015625	303618.5793568455	0.7047210129162571	1.2169109387261487	3.871938695611759	0.0086166234058759	0.000632832863829931			35907bc383c0cbe0e132fab7ea159fd6f2928799f6fd463f5ad688df6dc7a02d	8e21120f8ba4ef125a2be69c05f82893e9cff1c3
4	20260795	completed	local-clean-b2b4a6c-n4-seed-20260795	527.594500666999	0.542828125	119390.17391481323	0.7047998497316635	1.5475230980054162	3.872129887119285	0.00867482797242948	0.0004632433926937554			8c59f21c25d6f2ee03a185fe3dedccd10459c3af1bcf49cb22b39dcb3990683a	b2b4a6ce44f2ff414b12f77f9c131b8c0d82ae12
8	20260792	completed	local-legacy-n8-seed-20260792	258.4072928340174	0.531953125	177028.83612402843	0.747090108839207	1.1062897648738632	10.364876284647819	0.017392792995135728	0.0008219067569381187			6c73cd87cd1097a8698471d48dcd4c72cc52d9b19624b892294d9ab0bf71a9de	8e21120f8ba4ef125a2be69c05f82893e9cff1c3
8	20260797	completed	local-clean-b2b4a6c-n8-seed-20260797	2298.6128907500006	0.53215234375	223007.48436119463	0.7482590784046518	0.8795741919208934	10.364262501185118	0.017210730130995285	0.0006416126145027952			c9e48f0c28b621fdf3ddc3d93c0bebdad52886e49f264f6c814e68fe01f36d10	b2b4a6ce44f2ff414b12f77f9c131b8c0d82ae12
10	2026083001	completed	23020298_0	3715.0	0.5350859375	76009.90785536998	0.7189944561541973	2.479677821379836	14.282482654456185	0.02156423180399631	0.0009137838040158828	602.44140625		6e378e2b8023475300cea5a7c15a3191a55c94639045c02fc17df4fc9b36cb37	144e08643a679226f2d7e843ac57c97e0984ae0c
10	2026083003	completed	23020298_1	10786.0	0.5334257812500001	285515.93232287327	0.7183377402733132	0.6595356239989473	14.282457439244116	0.021620504193695163	0.0008570510002876909	617.953125		98a634f9936787779d6f930d6ead45fdef41dd52d52b056b181ef262dcd3eba3	144e08643a679226f2d7e843ac57c97e0984ae0c
10	2026083005	completed	23020298_2	25176.0	0.5342109375	72956.35624388457	0.7189935772766762	2.583460331976434	14.282308888949256	0.0216765259679105	0.0007564477922584751	609.14453125		d11e03943ca81d62f9e23e2c54fa42512fd94adea14d2cf46b62dfb40d7d06ea	144e08643a679226f2d7e843ac57c97e0984ae0c
10	2026083007	completed	23020298_3	3084.0	0.533265625	203264.0423625864	0.7180263866890969	0.9260187238452379	14.28152103562755	0.02144140706323906	0.0007878704411037931	583.3125		f315d76ce0cfb0fcaf965075ab76b60c73068741c80311a0e06bf3c24590a40c	144e08643a679226f2d7e843ac57c97e0984ae0c
10	2026083009	completed	23020298_4	16289.0	0.5344335937500001	153877.54108195787	0.7195457413701356	1.225809806287898	14.282056041459299	0.02158165974516979	0.0007509614101911149	620.89453125		cc130b67ba858a6682696c8488fce0d1dcb24ea9cb0c47259686a980c619119d	144e08643a679226f2d7e843ac57c97e0984ae0c
10	2026083011	completed	23020298_5	17957.0	0.53564453125	108805.5168463212	0.7184078599593303	1.7308525844987623	14.282231101433169	0.021663196175936074	0.0009737100718046227	565.4140625		76f5e97df62c8b6a5a28e0bf57761c2ffe590687c8cb3c7da7759aa045976578	144e08643a679226f2d7e843ac57c97e0984ae0c
