beta,L1,L2,p_eff,p_eff_se
1,8,16,0.24229579101677262,0.0011356584821976114
1,16,32,0.24375308050810404,0.0010018024492746567
1,32,64,0.24575178016444846,0.0009244854046291275
1,48,96,0.24947304764839032,0.0008754706521508107
1,64,128,0.25276279316330813,0.0009070747431327304
1,96,192,0.25784069732412324,0.0008523614052949523
1,128,256,0.25847025696598913,0.0008934089912301982
1,192,384,0.262733321295691,0.0009039755814819877
1,256,512,0.2665289939541116,0.0008740586885943814
1,384,768,0.26983961824839814,0.0009758541483655648
1,512,1024,0.2707792131590881,0.0009309654230634423
1,1024,2048,0.27800002424288034,0.000989195259723924
1,2048,4096,0.2822986416527713,0.0010302042358112484
1,4096,8192,0.27290631288113554,0.004690221879929856
2,8,16,0.08384786363092266,0.0004285564818453369
2,16,32,0.08510734523329554,0.0003962256566322768
2,32,64,0.08734496195789487,0.0003723950095893225
2,48,96,0.08809812732232164,0.0003844876606318626
2,64,128,0.0890935447821751,0.0003687178067910609
2,96,192,0.08968022468398698,0.00042146160586595813
2,128,256,0.08998466466830732,0.000391159057216932
2,192,384,0.0906613299781282,0.0004281295965864183
2,256,512,0.09137131809800614,0.00040341511058480993
2,384,768,0.09267529000097531,0.00043941642381068385
2,512,1024,0.09287098374009606,0.000413995340677323
2,1024,2048,0.09366921135630706,0.0004359321228553643
2,2048,4096,0.0951772658587053,0.00044142327586617645
2,4096,8192,0.09262823505673402,0.0015334099901213206
4,8,16,0.037577387544711426,0.000229080987414516
4,16,32,0.03843890091627743,0.0002220889307940144
4,32,64,0.03896631145148146,0.0002137184407753054
4,48,96,0.03934569135822314,0.0002201020251301409
4,64,128,0.0393135762809566,0.00022425313737549062
4,96,192,0.03978631366948999,0.00022103510265970627
4,128,256,0.04046480537995623,0.00023276714813893703
4,192,384,0.04096788142092637,0.00023584345599230415
4,256,512,0.04074863077504469,0.0002166814631345128
4,384,768,0.04077940442509964,0.00024100540524977647
4,512,1024,0.040968230306794425,0.00022832126722625867
4,1024,2048,0.04128053275991788,0.00023967995223652823
4,2048,4096,0.04170289459564601,0.00024063621849672857
8,8,16,0.018031329200037513,0.00013028138538235016
8,16,32,0.018112013336814295,0.00012550408041429759
8,32,64,0.018536961300598825,0.00012294747372284325
8,48,96,0.018597111837175617,0.00012576721181773888
8,64,128,0.018995361389438036,0.00012826638045265642
8,96,192,0.019268545944101236,0.00013168699429767775
8,128,256,0.01913662777661718,0.00012873229991617225
8,192,384,0.01917050376605369,0.00012789887031385247
8,256,512,0.019413255581759846,0.0001255629009727455
8,384,768,0.01953646859500802,0.00013248547090562708
8,512,1024,0.01934784885325124,0.00013033546552932985
8,1024,2048,0.019642194300946277,0.00013571986663569283
8,2048,4096,0.019700900902535984,0.00013733109703912134
