beta,Lmin,Lmax,rho,delta_AICc_ordered_minus_decaying,ordered_chi2,ordered_reduced_chi2,ordered_gof_p,decaying_chi2,decaying_reduced_chi2,decaying_gof_p,decaying_p
1,64,8192,-0.8,1795.455491568398,1933.161913482512,101.74536386750064,0.0,137.70642191411412,7.2477064165323215,5.0051916654671397e-20,0.3109814792085178
1,64,8192,-0.6000000000000001,1002.8143505183339,1102.402238731435,58.02117045954922,7.041336471059628e-222,99.58788821310117,5.241467800689535,6.359134138224831e-13,0.31220168807437043
1,64,8192,-0.4,761.9096165923424,850.1072902907138,44.74248896266914,4.736503533731618e-168,88.19767369837137,4.641982826230072,6.908841335796378e-11,0.31349758442735093
1,64,8192,-0.19999999999999996,668.5562849574546,752.4559710101408,39.602945842638995,2.696997528948917e-147,83.8996860526862,4.415772950141379,3.91992618881569e-10,0.3148328691009737
1,64,8192,0.0,647.4948698054824,730.4823130184774,38.44643752728828,1.2396336134289085e-142,82.98744321299505,4.3677601691050025,5.651247996441858e-10,0.31620120638021415
1,64,8192,0.19999999999999996,684.591038718066,769.261034403672,40.48742286335116,7.295025301892723e-151,84.66999568560607,4.456315562400319,2.8761348024209627e-10,0.3176017972980188
1,64,8192,0.40000000000000013,798.8795403035954,888.5079859797297,46.76357820945946,3.1591211651964324e-176,89.62844567613443,4.717286614533391,3.8598576584869406e-11,0.3190365104635176
1,64,8192,0.6000000000000001,1076.625778319377,1177.9501474096935,61.997376179457554,4.862825789373619e-238,101.32436909031634,5.332861531069281,3.0809886790164684e-13,0.32051199445794826
1,64,8192,0.8,1973.5507454522624,2111.826313056479,111.14875331876206,0.0,138.2755676042169,7.27766145285352,3.8977613210563935e-20,0.3220601743029324
2,64,8192,-0.8,1849.6622234715835,1901.760715675379,100.09266924607259,0.0,52.09849220379556,2.742025905462924,6.395263402549557e-05,0.10098646097735194
