L,k,E_infinite_PI,E_over_k2,local_log_slope,ratio_to_leading
32,0.19634954084936207,0.12682475164718,3.289608691721678,,1.9383637439936428
64,0.09817477042468103,0.038669775803044634,4.012101074481475,1.0423361776876092,1.6580719714488035
128,0.04908738521234052,0.01140859478527485,4.734698812784027,1.0424881736066731,1.5067278452217192
256,0.02454369260617026,0.00328745225576298,5.457322864174341,1.0425261353678985,1.4119835967524161
512,0.01227184630308513,0.0009306899442348567,6.179953492223396,1.0425356234808474,1.3470885224778577
1024,0.006135923151542565,0.0002598792680305109,6.902585764336295,1.0425379953636036,1.2998558766293524
2048,0.0030679615757712823,7.177151636915936e-05,7.625218447458852,1.042538588325198,1.2639385349274304
4096,0.0015339807878856412,1.9643304174458233e-05,8.347851233333431,1.042538736565032,1.2357052918352878
8192,0.0007669903939428206,5.335932329268234e-06,9.070484044895991,1.0425387736249543,1.2129285400812664
16384,0.0003834951969714103,1.440259654674951e-06,9.793116862880547,1.042538782889935,1.19416584277131
32768,0.00019174759848570515,3.866340568172404e-07,10.515749682470597,1.042538785206174,1.1784420072728812
65536,9.587379924285257e-05,1.0330079999512511e-07,11.238382502462024,1.0425387857852382,1.1650740666265884
