sigma,L,k,E_MI_normalized,effective_power,c_L,E_infinite_PI,MI_minus_PI_relative,relative_times_logL,cL_minus_cinf_times_L2,MI_leading_ratio
1.875,32,0.19634954084936207,0.1345716947553871,,0.6445894628067451,,,,,
1.875,64,0.09817477042468103,0.04332004684438543,1.635268283319935,0.6434308607835462,,,,,
1.875,128,0.04908738521234052,0.013477388406433049,1.6844938389949244,0.6431163194128702,,,,,
1.875,256,0.02454369260617026,0.0040919384603871935,1.7196846106855967,0.6430306614221829,,,,,
1.875,512,0.01227184630308513,0.0012200568410509563,1.7458360853570047,0.6430073155083037,,,,,
1.875,1024,0.006135923151542565,0.00035874772568505304,1.7659067720345631,0.6430009512685453,,,,,
1.875,2048,0.0030679615757712823,0.00010433665872674549,1.7817235473103759,0.6429992162402558,,,,,
1.875,4096,0.0015339807878856412,3.0078117534846855e-05,1.794459955776706,0.6429987432273234,,,,,
2.0,32,0.19634954084936207,0.1196789908206441,,0.6648109860419266,0.12682475164718,-0.05634358225604919,-0.1952719759171393,1.1368257823468184,1.8291493869417934
2.0,64,0.09817477042468103,0.03685233673383191,1.699341909254781,0.6639775451997048,0.038669775803044634,-0.0469989554237247,-0.19546316064730396,1.1335294396467361,1.5801443207733539
2.0,128,0.04908738521234052,0.010951761221176253,1.7505932033707177,0.663769939544986,0.01140859478527485,-0.04004293015019118,-0.19428950894474692,1.132706711674473,1.4463940473601578
2.0,256,0.02454369260617026,0.0031730554023586908,1.7872182808785522,0.6637180852094674,0.00328745225576298,-0.0347980273184953,-0.19296123619890376,1.1325011141525465,1.3628493529793584
2.0,512,0.01227184630308513,0.000902076829809193,1.814550493255956,0.6637051245667043,0.0009306899442348567,-0.03074398149771275,-0.19179093684894044,1.1324497201130725,1.3056736578670174
2.0,1024,0.006135923151542565,0.00025272498784616827,1.8356819970477851,0.6637018845898144,0.0002598792680305109,-0.027529245555296403,-0.19081818939596107,1.13243687315844,1.264071825015128
2.0,2048,0.0030679615757712823,6.998287542453886e-05,1.8524944681778772,0.6637010746070777,7.177151636915936e-05,-0.02492132025496805,-0.19001557157618817,1.1324336603283882,1.2324395179159089
2.0,4096,0.0015339807878856412,1.9196138988432987e-05,1.8661857786459248,0.6637008721121128,1.9643304174458233e-05,-0.022764255038451493,-0.18934775036940216,1.1324328761547804,1.207575381419585
2.125,32,0.19634954084936207,0.10743150231215969,,0.6837127293342725,,,,,
2.125,64,0.09817477042468103,0.03183122853031543,1.754902354987192,0.6831162771294313,,,,,
2.125,128,0.04908738521234052,0.00910134609006319,1.8062909980911115,0.6829799883786793,,,,,
2.125,256,0.02454369260617026,0.002537734212000825,1.842538958511357,0.6829487690361046,,,,,
2.125,512,0.01227184630308513,0.0006946047105344593,1.869276877678881,0.6829416133659534,,,,,
2.125,1024,0.006135923151542565,0.0001874465365592071,1.889713025276209,0.6829399729994148,,,,,
2.125,2048,0.0030679615757712823,5.002430181364439e-05,1.9057781374932619,0.6829395969480997,,,,,
2.125,4096,0.0015339807878856412,1.323112446267047e-05,1.9186934506969229,0.6829395107382015,,,,,
