beta,Lmin,Lmax,model,n,chi2,dof,reduced_chi2,gof_p,AICc,BIC,g0,g0_se_nominal,g0_se_overdispersion,p,heldout1_rms_z,heldout2_rms_z
1,16,8192,O1,15,195658.34460992116,13,15050.641893070859,0.0,195663.34460992116,195663.76071032337,0.370096996484212,4.168225019734594e-05,0.00511362253722508,,58.16702406696324,239.8535982451755
1,16,8192,D1,15,7014.052604511721,13,539.5425080393632,0.0,7019.052604511721,7019.468704913926,,,,0.262939784170733,9.443246089920615,48.42868757155693
1,16,8192,O2,15,9410.234589004143,12,784.1862157503452,0.0,9418.416407185961,9418.35873960745,0.31678930401526084,0.00013036513558046793,0.003650657271256678,,13.864138839201447,66.77411391470592
1,16,8192,D2,15,367.5399318635184,12,30.6283276552932,2.7785747754808665e-71,375.7217500453366,375.66408246682505,,,,0.3033816496761341,0.044200592703964356,12.608669206517416
1,32,8192,O1,14,113943.54910387835,12,9495.29575865653,0.0,113948.64001296926,113948.82721853758,0.3648776217327379,4.5505905812997416e-05,0.004434268758508238,,48.621604901465176,199.53902120522545
1,32,8192,D1,14,4753.07718139001,12,396.08976511583415,0.0,4758.168090480919,4758.355296049241,,,,0.26461968326932434,7.920660951000596,42.10485355733804
1,32,8192,O2,14,2715.4859534572033,11,246.8623594052003,0.0,2723.8859534572034,2723.403125446049,0.3065490090361095,0.0001807170030610049,0.0028393991863206068,,7.708228797042822,41.33928328105957
1,32,8192,D2,14,78.59460326111261,11,7.144963932828419,2.757244056267564e-12,86.99460326111262,86.51177524995839,,,,0.31111976051853824,1.2583905675392013,6.891339250542144
1,48,8192,O1,13,75977.88924772036,11,6907.080840701851,0.0,75983.08924772036,75983.01914643528,0.36093124644471514,4.980960808738386e-05,0.004139619214843043,,41.95485015990543,172.47690033839672
1,48,8192,D1,13,3240.1905709660277,11,294.5627791787298,0.0,3245.3905709660276,3245.3204696809507,,,,0.2662249659549383,6.588963078605061,36.6755081076072
1,48,8192,O2,13,1323.6435797893269,10,132.36435797893267,3.01877298950912e-278,1332.3102464559936,1331.3384278617114,0.3017142383071414,0.00022238014241748733,0.00255847709208004,,5.306182539059038,31.479588023930628
1,48,8192,D2,13,46.379361344946744,10,4.637936134494675,1.2241755384944992e-06,55.04602801161341,54.07420941733135,,,,0.31386115788034474,1.6412157994163044,5.3991683380603055
1,64,8192,O1,12,51333.78680485044,10,5133.378680485044,0.0,51339.120138183775,51338.756618150015,0.3572167772878532,5.514397913063154e-05,0.003950933795612668,,36.05358265106379,149.05212381125688
1,64,8192,D1,12,2245.290645429085,10,224.52906454290851,0.0,2250.6239787624186,2250.260458728661,,,,0.26777153830519534,5.389554826039487,31.924031034541027
1,64,8192,O2,12,725.5669509355497,9,80.61855010394997,2.2001840385244958e-150,734.5669509355497,733.0216708849136,0.2980188027284433,0.00026886154508053313,0.002414049559299624,,3.7421974164458027,25.14291117775479
1,64,8192,D2,12,26.886901088635746,9,2.9874334542928604,0.0014602995448631797,35.886901088635746,34.341621037999744,,,,0.31641011125504076,1.9451163815199466,4.192283388014332
1,96,8192,O1,11,31399.848352127745,9,3488.872039125305,0.0,31405.348352127745,31404.64414267334,0.3532821322155153,6.17858828401325e-05,0.0036494866317921025,,30.09154337053223,124.93911889357894
1,96,8192,D1,11,1369.0903457110198,9,152.12114952344666,3.6837901429028386e-289,1374.5903457110198,1373.8861362566165,,,,0.26948217178454703,4.129318508756938,26.771462131824208
1,96,8192,O2,11,343.00274804397236,8,42.875343505496545,2.8194863776801224e-69,352.4313194725438,350.1964338623675,0.2938591290275151,0.00034280495939495177,0.0022446617317751945,,2.187828683140904,18.89434595799257
1,96,8192,D2,11,21.502266043095332,8,2.6877832553869165,0.0059263578126834224,30.93083747166676,28.695951861490443,,,,0.31828396709579526,2.1501639764355125,3.5835377211991424
1,128,8192,O1,10,19448.2993381231,8,2431.0374172653874,0.0,19454.013623837385,19452.904508309086,0.3496111953273772,7.03209022919356e-05,0.0034672108755759343,,24.940966129554035,104.65577673511672
1,128,8192,D1,10,895.0780566214158,8,111.88475707767698,6.509168545967418e-188,900.7923423357015,899.6832268074039,,,,0.27101930360024534,3.0877621609758275,22.745297362380125
1,128,8192,O2,10,148.37953116427786,7,21.197075880611123,8.88708752675496e-29,158.37953116427786,155.28728644326,0.29015202128047685,0.00043373585797511514,0.00199693213155904,,1.026018067196677,14.031607063072697
1,128,8192,D2,10,10.453067420880236,7,1.4932953458400338,0.16431893883830656,20.453067420880238,17.360822699862375,,,,0.3217047229093933,2.457948370082286,2.422018955326806
1,192,8192,O1,9,11034.245464062782,7,1576.3207805803975,0.0,11040.245464062782,11038.639913217454,0.34611489379521454,7.998657084920665e-05,0.003175699339685316,,20.31509048978221,85.72890963008207
1,192,8192,D1,9,502.20847412702386,7,71.74406773243199,2.6865964925529307e-104,508.20847412702386,506.6029232816963,,,,0.27260969491949666,2.0754485313630324,18.54320286298029
1,192,8192,O2,9,55.462622725367225,6,9.243770454227871,3.738102353138142e-10,66.26262272536722,62.054296457375884,0.28652309787806196,0.0005743313409011498,0.0017461722906001581,,0.02297443852533751,9.9342994750795
1,192,8192,D2,9,9.554442840990973,6,1.592407140165162,0.144713175463512,20.354442840990973,16.14611657299963,,,,0.32307502061627635,2.5878811226823,2.155604828691637
1,256,8192,O1,8,6311.334789253708,6,1051.8891315422845,0.0,6317.734789253707,6315.493672337067,0.342824678751646,9.322005875327052e-05,0.0030233912806252425,,16.380812918220542,70.23970778759137
1,256,8192,D1,8,275.00574456451716,6,45.83429076075286,1.8414991598652653e-56,281.40574456451714,279.16462764787684,,,,0.27415391909259634,1.1919687492503712,14.987416177232573
1,256,8192,O2,8,33.736244793776606,5,6.747248958755321,2.6868956124082367e-06,45.736244793776606,39.97456941881612,0.28431633854245036,0.0007443105301194119,0.0019333813756247755,,0.4841227055792128,8.283749429543358
1,256,8192,D2,8,9.547726223617715,5,1.909545244723543,0.08911265439278714,21.547726223617715,15.786050848657222,,,,0.32292226621776227,2.6097512187705787,2.243781068459322
1,384,8192,O1,7,2678.902209720131,5,535.7804419440262,0.0,2685.902209720131,2682.7940300182418,0.3389145952643757,0.00011357348479674933,0.0026288776828120907,,12.06367435001755,52.35444123831444
1,384,8192,D1,7,123.08848115474866,5,24.617696230949733,6.956040873032538e-25,130.08848115474865,126.9803014528593,,,,0.2758666685329129,0.28950244502961947,11.312962849985079
1,384,8192,O2,7,12.203711077829395,4,3.0509277694573487,0.01589899394745828,26.203711077829396,18.041441524995335,0.28030572459069797,0.0011406175765414563,0.0019923059068453395,,1.2924960614515144,5.28829646144658
1,384,8192,D2,7,9.04445511404236,4,2.26111377851059,0.05999786893174193,23.04445511404236,14.8821855612083,,,,0.3253304844985985,2.81226567481369,1.9481827060086794
1,512,8192,O1,6,1441.5197677752249,4,360.3799419438062,6.8604466319854e-311,1449.5197677752249,1445.103286713681,0.33641556772735187,0.00013396265364808848,0.0025431035687480527,,9.6336476111545,
1,512,8192,D1,6,72.17164192481765,4,18.042910481204412,7.894688130408859e-15,80.17164192481765,75.75516086327376,,,,0.276968537480591,0.22156305399535328,
1,512,8192,O2,6,5.785586318189538,3,1.9285287727298461,0.12252087867764432,23.785586318189537,11.160864725873704,0.2776188855537168,0.0015575005721643268,0.0021629240826701915,,1.780983594911194,
1,512,8192,D2,6,8.736705828025638,3,2.912235276008546,0.03300429987789405,26.736705828025638,14.111984235709803,,,,0.32765428402626123,3.0018337896802456,
2,16,8192,O1,15,171076.61872750672,13,13159.739902115902,0.0,171081.61872750672,171082.03482790894,0.7048870524887967,2.661934932878094e-05,0.0030536628696751725,,70.47781472805204,225.18552193823473
2,16,8192,D1,15,1929.8572288725334,13,148.45055606711796,0.0,1934.8572288725334,1935.2733292747378,,,,0.09074296174799165,6.1237741392616325,25.651411801290898
2,16,8192,O2,15,8256.480075463236,12,688.040006288603,0.0,8264.661893645054,8264.604226066544,0.6727898500287585,8.38808896103361e-05,0.0022002390756382414,,18.578771977096782,64.89826015797138
2,16,8192,D2,15,46.247153951106355,12,3.8539294959255295,6.29001329871243e-06,54.428972132924535,54.37130455441299,,,,0.10011827734323417,0.49905423465722876,5.346169086079796
2,32,8192,O1,14,91970.69156012702,12,7664.224296677251,0.0,91975.78246921793,91975.96967478625,0.70119474511798,2.9680464773492245e-05,0.0025983927775977754,,57.73792961122761,182.91007817742678
2,32,8192,D1,14,1112.5222642519102,12,92.71018868765918,1.1748606939215943e-230,1117.6131733428192,1117.8003789111408,,,,0.09119087742708532,4.8891507242367105,21.4754407600185
2,32,8192,O2,14,2558.6819325449305,11,232.6074484131755,0.0,2567.0819325449306,2566.5991045337764,0.66625265794704,0.00012056636487888217,0.0018388147366966369,,11.047374690067393,41.07666669116598
2,32,8192,D2,14,23.335053072692947,11,2.1213684611539043,0.015847203516473868,31.735053072692946,31.252225061538724,,,,0.10111581262061664,1.0014376234206563,3.909452317217759
2,48,8192,O1,13,61461.38434164891,11,5587.398576513538,0.0,61466.58434164891,61466.51424036383,0.6987062845601703,3.292261744020283e-05,0.0024609295544590643,,49.93964083398482,158.31413340648317
2,48,8192,D1,13,782.3474140184212,11,71.12249218349284,1.1674445854566935e-160,787.5474140184213,787.4773127333443,,,,0.09152286332628733,4.062308755241915,18.88539504589075
2,48,8192,O2,13,1192.155050281404,10,119.21550502814041,7.091514982349073e-250,1200.8217169480708,1199.8498983537886,0.6630113213895529,0.0001490789857290156,0.0016277316226301442,,7.977278725908097,30.977051465329463
2,48,8192,D2,13,12.693993602554102,10,1.2693993602554101,0.24128772592850137,21.36066026922077,20.38884167493871,,,,0.10182343666299111,1.2935981504900387,2.9909844451271703
2,64,8192,O1,12,40622.46902098163,10,4062.2469020981634,0.0,40627.80235431497,40627.43883428121,0.6961734198028942,3.730624129458692e-05,0.002377741582922366,,42.5649333889715,135.68058617253465
2,64,8192,D1,12,515.1179284820333,10,51.511792848203335,2.591966588278738e-104,520.4512618153667,520.0877417816093,,,,0.09189737079621764,3.1956984193410474,16.20141497447665
2,64,8192,O2,12,697.5675771267062,9,77.50750856963401,2.3056609357782314e-144,706.5675771267062,705.0222970760701,0.6607153691405323,0.0001813359112091867,0.001596451419845946,,6.167877610373177,25.310105512439407
2,64,8192,D2,12,10.824801517892983,9,1.2027557242103315,0.2879093906150456,19.824801517892983,18.279521467256984,,,,0.10218888921727108,1.425255907813353,2.705755428047166
2,96,8192,O1,11,23093.242662543715,9,2565.915851393746,0.0,23098.742662543715,23098.03845308931,0.6932794653776695,4.3238033768915204e-05,0.0021902169782017193,,34.57167807750707,110.59659624971545
2,96,8192,D1,11,313.2665536671666,9,34.8073948519074,3.992386187473349e-62,318.7665536671666,318.0623442127633,,,,0.09229708195892651,2.318911796446452,13.481388273855398
2,96,8192,O2,11,261.1791216770697,8,32.64739020963371,7.33268473085609e-52,270.60769310564115,268.3728074954648,0.6573849560238504,0.00024145317380050817,0.0013796126041177672,,3.8915298817052375,17.781937216063902
2,96,8192,D2,11,6.319198421061893,8,0.7898998026327366,0.6115242277438755,15.747769849633322,13.512884239457005,,,,0.10305053702860384,1.6942864264576716,1.9432473337613605
2,128,8192,O1,10,15623.984366600122,8,1952.9980458250152,0.0,15629.698652314408,15628.58953678611,0.6914075283052451,4.8359800636914855e-05,0.0021371519740495965,,29.79349852868046,95.86057772070102
2,128,8192,D1,10,218.95310642019274,8,27.369138302524092,6.407719930152884e-43,224.66739213447846,223.55827660618084,,,,0.0925710752888554,1.7640069938898182,11.785191796847366
2,128,8192,O2,10,134.28018967346017,7,19.18288423906574,8.008185398829578e-26,144.28018967346017,141.1879449524423,0.655529015639248,0.0002923070295506841,0.0012802542099424703,,2.8249980980539324,14.244707602828575
2,128,8192,D2,10,5.026452173800455,7,0.7180645962572079,0.6567350037088868,15.026452173800454,11.934207452782593,,,,0.10353671652121382,1.829689583698496,1.629092534897076
2,192,8192,O1,9,8050.3645090688715,7,1150.0520727241244,0.0,8056.3645090688715,8054.758958223544,0.688762455372547,5.711792379694102e-05,0.0019370068886658256,,23.454132320240177,75.7009651279181
2,192,8192,D1,9,109.9703447533474,7,15.710049250478201,9.313451226302451e-21,115.9703447533474,114.36479390801985,,,,0.09298212710058348,0.9814319728487496,9.243201485518016
2,192,8192,O2,9,45.673142786893976,6,7.612190464482329,3.438937821581587e-08,56.47314278689397,52.264816518902634,0.6528903920619932,0.000404992348231849,0.0011173819228634382,,1.5288809025546308,10.163161205974028
2,192,8192,D2,9,4.969258440620098,6,0.8282097401033496,0.5477619777015774,15.7692584406201,11.560932172628757,,,,0.10371001256638128,1.9045860130324876,1.5877512474971414
2,256,8192,O1,8,4711.354767138504,6,785.225794523084,0.0,4717.754767138504,4715.513650221864,0.686859663773405,6.593023157679599e-05,0.0018474890797192203,,19.314957208117228,62.6555008098593
2,256,8192,D1,8,60.85123860045963,6,10.141873100076605,3.022029240845095e-11,67.25123860045963,65.0101216838193,,,,0.09328449031403367,0.4581917229859056,7.552420285384347
2,256,8192,O2,8,24.45818688853977,5,4.891637377707954,0.00017723106964649183,36.45818688853977,30.696511513579278,0.6513692287547754,0.0005225800090664222,0.0011557926264653268,,0.909370551245775,8.535258499538472
2,256,8192,D2,8,4.909425250873632,5,0.9818850501747264,0.42703386711994773,16.909425250873632,11.147749875913139,,,,0.1034975323086239,1.9061159255512068,1.731968114404453
2,384,8192,O1,7,2027.1446475419266,5,405.4289295083853,0.0,2034.1446475419266,2031.0364678400372,0.6845754788268629,7.931311722673733e-05,0.0015969906981099034,,14.71585640761553,47.23874551015567
2,384,8192,D1,7,23.44787273554418,5,4.689574547108836,0.00027710004947281545,30.44787273554418,27.339693033654807,,,,0.09363646668309847,0.10784277724060336,5.62964284292328
2,384,8192,O2,7,11.938356167300768,4,2.984589041825192,0.017815600234724466,25.938356167300768,17.776086614466706,0.64927082000229,0.0007904412945226591,0.0013655634708950985,,0.16313983294369083,7.319430017337217
2,384,8192,D2,7,4.580665112954485,4,1.1451662782386212,0.33308954680993685,18.580665112954485,10.418395560120423,,,,0.10261591765460594,1.860143527148844,2.5622286796063785
2,512,8192,O1,6,1114.4394957521338,4,278.60987393803345,5.614918878260045e-240,1122.4394957521338,1118.02301469059,0.6831044077963636,9.306771254719095e-05,0.0015534500437997141,,12.119286344888593,
2,512,8192,D1,6,14.85458450665456,4,3.71364612666364,0.005012518795910131,22.85458450665456,18.43810344511067,,,,0.0938262063417386,0.3789376061100799,
2,512,8192,O2,6,7.163649920452346,3,2.3878833068174488,0.06686063012394033,25.163649920452347,12.53892832813651,0.6477014890309845,0.0010679881749416694,0.0016503383578398679,,0.33394391019104513,
2,512,8192,D2,6,4.571604913727231,3,1.5238683045757437,0.20599153102043283,22.57160491372723,9.946883321411397,,,,0.10279382256478115,1.976797979331817,
