sample_id,chain,sweep,log_sampling_efficiency,log_true_weight_minus_median,log_true_weight_minus_arithmetic_log_mean,prefix_barrier,prefix_barrier_slice,min_sigma,min_selected_q,abs_uniform,abs_staggered,domain_walls,distance_constant,distance_checkerboard,mask,bottleneck_slice
2409425800643215362,23,2478,-2755.3421859120117,29.149262326659482,-61.219953297696065,1864.3551314483639,411,2.9279330974866023e-05,4.662027661922825e-10,4,4,16,6,6,43281,411
2382404202878992389,17,3195,-2625.030986956511,34.02637578330268,-56.342839841052864,1752.5339862931964,324,2.45593003426208e-06,4.701112543124548e-07,0,0,14,8,8,3046,324
2657123780148592648,78,3912,-2609.527405663901,6.184030239184722,-84.18518538517083,1755.2801974312843,346,2.8034892379263803e-05,8.335186693551846e-07,0,4,18,8,6,22121,346
2652620180521222150,77,3434,-2595.3954546406403,-23.35433378869675,-113.7235494130523,1743.2272012305611,419,3.5085177805261833e-06,8.792613801541568e-09,2,2,14,7,7,28825,419
2337368206605287426,7,2478,-2589.590971448872,39.410932829700414,-50.95828279465513,1674.6574514203958,419,0.00031708348251876373,6.655390141931206e-07,4,0,18,6,8,31399,419
2864289363007635462,124,3434,-2570.2472377343493,23.076100176567707,-67.29311544778784,1680.5212255739225,393,2.5312282634168877e-05,3.178164217067038e-07,4,4,16,6,6,21855,393
2359886204742139908,12,2956,-2518.2216512223386,12.52352925131163,-77.84568637304392,1631.5435680580867,416,4.815679326489928e-05,7.42504363743248e-07,0,4,16,8,6,31820,416
2386907802506362884,18,2956,-2484.412149597596,42.06400334114369,-48.30521228321186,1573.2393800739947,413,1.1554779485433038e-05,5.914230652068396e-07,2,2,16,7,7,28757,413
2373397003624251398,15,3434,-2474.203086350665,26.42673930570527,-63.94247631865028,1582.328100161324,371,0.00011304525027609545,1.5923591998650498e-07,0,4,14,8,6,25203,371
2377900603251621895,16,3673,-2461.759043601426,-14.353279249496154,-104.7224948738517,1600.5897356521464,419,3.934030943612861e-05,7.41281715237733e-08,4,4,16,6,6,13860,419
