acceptance_beta8_m8,cells,channel_balance_beta8_m8,classification,effective_samples_beta8_m8,g_b_over_g_a,mu,q_combined_beta2_m8,q_combined_beta8_m4,q_combined_beta8_m8,reasons,size_delta,size_z,t,thermal_delta,thermal_z
,9,,STOP,,0.0,-1.5,,,,single-channel control line,,,0.0,,
,9,,STOP,,0.0,0.0,,,,single-channel control line,,,0.0,,
,9,,STOP,,0.0,1.5,,,,single-channel control line,,,0.0,,
,9,,STOP,,0.0,-1.5,,,,single-channel control line,,,0.25,,
,9,,STOP,,0.0,0.0,,,,single-channel control line,,,0.25,,
,9,,STOP,,0.0,1.5,,,,single-channel control line,,,0.25,,
,9,,STOP,,0.0,-1.5,,,,single-channel control line,,,0.5,,
,9,,STOP,,0.0,0.0,,,,single-channel control line,,,0.5,,
,9,,STOP,,0.0,1.5,,,,single-channel control line,,,0.5,,
,9,,STOP,,0.0,-1.5,,,,single-channel control line,,,1.0,,
,9,,STOP,,0.0,0.0,,,,single-channel control line,,,1.0,,
,9,,STOP,,0.0,1.5,,,,single-channel control line,,,1.0,,
,9,,STOP,,0.0,-1.5,,,,single-channel control line,,,2.0,,
,9,,STOP,,0.0,0.0,,,,single-channel control line,,,2.0,,
,9,,STOP,,0.0,1.5,,,,single-channel control line,,,2.0,,
,9,,STOP,,0.25,-1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,0.25,0.0,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,0.25,1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
0.9977083333333333,9,-0.009016462235744122,EXTEND,4.042528646837741,0.25,-1.5,0.6360275383144544,0.11081880701008051,0.0017330060818656265,effective sample or acceptance threshold not met,-0.10908580092821489,-11.166658511715596,0.25,-0.6342945322325887,-4.763576984616645
0.7727083333333333,9,-0.5679157296451735,SURVIVE,6.111842839913559,0.25,0.0,1.948303667069506,1.170143712944903,2.360840148636687,size-and-temperature enhancement,1.190696435691784,28.72117851735851,0.25,0.41253648156718103,10.813541546504782
0.9964583333333333,9,0.0280567328833847,EXTEND,5.475939549691042,0.25,1.5,0.5734015248985034,0.0854979897644037,0.0005815363006118422,competing-channel reordering; signal present but short-chain quality is marginal,-0.08491645346379185,-6.277454377135945,0.25,-0.5728199885978915,-5.626896511799585
0.8435416666666666,9,-0.487433739247696,EXTEND,2.632535677496472,0.25,-1.5,1.7827296119999112,0.6023041457234781,1.3572739655461894,effective sample or acceptance threshold not met,0.7549698198227113,4.717961850604277,0.5,-0.4254556464537218,-3.0207147704396236
0.7922916666666666,9,-0.4098826201009819,SURVIVE,5.565125475451568,0.25,0.0,2.1618315056922106,1.3071085903721287,2.4855359545169557,size-and-temperature enhancement,1.178427364144827,16.08917359246981,0.5,0.32370444882474514,5.263842066182745
0.84,9,-0.6001285573354609,EXTEND,2.4285761996430955,0.25,1.5,1.5582971545028912,0.7786106098107302,1.4771488185089434,effective sample or acceptance threshold not met,0.6985382086982133,4.198762266953846,0.5,-0.08114833599394777,-0.48315748632043587
0.8152083333333333,9,-0.2780310118479924,EXTEND,4.664467370646772,0.25,-1.5,2.054415382068508,1.1564941106776359,2.1053756678789832,sub-threshold positive size/temperature trend,0.9488815572013474,20.718371730790818,1.0,0.05096028581047518,1.2850367251766233
0.7814583333333334,9,-0.21632640262940878,SURVIVE,4.645962517069416,0.25,0.0,2.4179443850236213,1.2616729216882656,2.5716364638792726,size-and-temperature enhancement,1.309963542191007,37.17389327534058,1.0,0.15369207885565128,7.423761303217417
0.8029166666666666,9,-0.3350008860050802,EXTEND,5.562734512898099,0.25,1.5,2.0469506805377766,1.1199796801188355,2.110567120988713,sub-threshold positive size/temperature trend,0.9905874408698774,53.00850860735356,1.0,0.06361644045093628,3.0553578229920517
0.8002083333333333,9,-0.15784344425831004,EXTEND,3.4467187642878048,0.25,-1.5,2.3884078461816896,1.1663583179615586,2.398239239085054,sub-threshold positive size/temperature trend,1.2318809211234956,52.53847333314877,2.0,0.009831392903364655,1.206183603779285
0.7922916666666666,9,-0.20691181645417567,EXTEND,3.6663173204624173,0.25,0.0,2.525384391226659,1.2484924110881939,2.5695116299847034,sub-threshold positive size/temperature trend,1.3210192188965095,97.5369613115863,2.0,0.044127238758044474,3.2775370837702487
0.7920833333333334,9,-0.06504510640602486,EXTEND,7.632213980929571,0.25,1.5,2.3962187494660334,1.1251098210232908,2.410232617020069,sub-threshold positive size/temperature trend,1.2851227959967781,231.53897451725825,2.0,0.014013867554035553,2.3016407033965307
,9,,STOP,,0.5,-1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,0.5,0.0,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,0.5,1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
0.9808333333333333,9,-0.022770868383729326,STOP,7.073059859285462,0.5,-1.5,0.6766254714439147,0.07508665726471471,0.024213771201044988,flat within 2σ with no size-consistent trend,-0.05087288606366972,-2.5735093062268426,0.25,-0.6524117002428698,-3.859739503414265
0.76875,9,-0.3968657404400682,SURVIVE,6.407979626975485,0.5,0.0,1.9261007686471736,1.2363062906538282,2.4448601701330537,size-and-temperature enhancement,1.2085538794792254,18.27502074592404,0.25,0.5187594014858801,7.223631808173654
0.99625,9,-0.10051196266389244,EXTEND,4.024438442105261,0.5,1.5,0.5615881697584714,0.0014646571536954616,0.004301709048727117,competing-channel reordering; signal present but short-chain quality is marginal,0.0028370518950316553,1.5253348710042625,0.25,-0.5572864607097443,-5.093247413779918
0.8102083333333333,9,-0.6200453690389971,EXTEND,5.441545843881736,0.5,-1.5,1.6267592554330803,0.9240659490780352,1.742120580611715,sub-threshold positive size/temperature trend,0.8180546315336799,14.74122597664432,0.5,0.11536132517863473,1.295507361459762
0.7670833333333333,9,-0.3351997115529185,SURVIVE,7.100234230064475,0.5,0.0,2.2195920440099415,1.2631493576947381,2.5151097607063364,size-and-temperature enhancement,1.2519604030115983,39.5258541368326,0.5,0.2955177166963949,8.748556641615174
0.83625,9,-0.08466293740618953,EXTEND,3.236853278705885,0.5,1.5,1.5894702436466681,0.8514604776785653,1.3671554993845179,competing-channel reordering; signal present but short-chain quality is marginal,0.5156950217059526,3.4872925940031863,0.5,-0.22231474426215025,-1.4308319972261208
0.7985416666666667,9,-0.041241193761719905,EXTEND,3.6053551181240606,0.5,-1.5,2.0741520103529694,1.1628551128020919,2.2449279127288886,size-and-temperature enhancement; competing-channel reordering; signal present but short-chain quality is marginal,1.0820727999267967,55.70494858851064,1.0,0.17077590237591922,5.309033535318304
0.7764583333333334,9,-0.3034800743855194,EXTEND,2.9738087800416313,0.5,0.0,2.4293507154993454,1.2568069966066064,2.566080983633251,size-and-temperature enhancement; signal present but short-chain quality is marginal,1.3092739870266448,58.74405632274482,1.0,0.13673026813390576,14.866259179805665
0.7845833333333333,9,-0.2121234273356598,SURVIVE,7.965308470848172,0.5,1.5,2.098785788129983,1.1269667143248658,2.2678468308104285,size-and-temperature enhancement; competing-channel reordering,1.1408801164855626,66.39984915767579,1.0,0.16906104268044553,13.117899434208896
0.7804166666666666,9,-0.04195468788206539,STOP,7.576222907657325,0.5,-1.5,2.4126319073735063,1.1134443074859504,2.4047445270707835,flat within 2σ with no size-consistent trend,1.291300219584833,147.04040322130976,2.0,-0.007887380302722846,-0.9679271631751085
0.7791666666666667,9,-0.2825845020014055,EXTEND,4.844419637558591,0.5,0.0,2.5204031089178103,1.2611576647795415,2.561150943472685,sub-threshold positive size/temperature trend,1.2999932786931434,122.42405640841127,2.0,0.04074783455487463,7.834501380599771
0.79,9,-0.13071371620074856,EXTEND,3.065755223097778,0.5,1.5,2.3966618751428808,1.126627768903673,2.4170542307032905,sub-threshold positive size/temperature trend,1.2904264617996175,166.85702905998116,2.0,0.020392355560409747,2.3194851022345078
,9,,STOP,,1.0,-1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,1.0,0.0,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,1.0,1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
0.9947916666666666,9,0.01692831798537925,STOP,6.921608104536841,1.0,-1.5,1.1180127325895293,0.23782526834879247,0.0019911130100351603,flat within 2σ with no size-consistent trend,-0.23583415533875732,-2.2510061427913155,0.25,-1.116021619579494,-21.437938213405058
0.7472916666666667,9,-0.37990132219773304,SURVIVE,11.884468522948556,1.0,0.0,1.8019801607715913,1.0409620218688886,2.327061224245385,size-and-temperature enhancement; competing-channel reordering,1.2860992023764963,31.42239066587546,0.25,0.5250810634737937,4.834721026765566
0.9095833333333333,9,-0.1891798266188842,EXTEND,2.7908466612245504,1.0,1.5,0.9113504288202868,0.6004784493305734,0.3892127759331564,effective sample or acceptance threshold not met,-0.21126567339741698,-1.0357716341956178,0.25,-0.5221376528871304,-3.336272791963384
0.8129166666666666,9,-0.166619716191703,EXTEND,3.3438614348505826,1.0,-1.5,1.7528348126490438,1.2852360554856574,1.6059874629859159,competing-channel reordering; signal present but short-chain quality is marginal,0.32075140750025843,3.014195260250458,0.5,-0.14684734966312796,-1.7030081441541847
0.74875,9,-0.1032473424769054,EXTEND,3.2691957751506298,1.0,0.0,2.342269237817282,1.2304150377230663,2.5165056365202525,size-and-temperature enhancement; competing-channel reordering; signal present but short-chain quality is marginal,1.2860905987971862,36.25403458254961,0.5,0.1742363987029707,8.148036334571664
0.7864583333333334,9,0.40464932621812383,SURVIVE,8.151813375553031,1.0,1.5,1.8130692294227835,1.0615379470114636,1.7856935357183996,competing-channel reordering,0.724155588706936,10.343407762427985,0.5,-0.027375693704383863,-0.2858978947319457
0.7597916666666666,9,0.11114811570038252,SURVIVE,4.770441492857778,1.0,-1.5,2.1953720100007663,1.1209353254505472,2.3305484984298652,size-and-temperature enhancement; competing-channel reordering,1.209613172979318,88.41164914853763,1.0,0.1351764884290989,11.595033080885463
0.7527083333333333,9,-0.08150346704712907,EXTEND,3.3381651512043016,1.0,0.0,2.4872906144377227,1.2322021061991397,2.5495580143383187,competing-channel reordering; signal present but short-chain quality is marginal,1.317355908139179,48.07453221094731,1.0,0.06226739990059604,6.403469000304546
0.74375,9,0.07829848596937447,SURVIVE,4.4781396307517305,1.0,1.5,2.2206614353273464,0.9354542334805153,2.306723218719392,competing-channel reordering,1.3712689852388764,28.990035835261697,1.0,0.0860617833920454,3.0010026529740728
0.7714583333333334,9,-0.06582682217317266,SURVIVE,4.173191108136353,1.0,-1.5,2.43383899515525,1.0832699120587965,2.4621460788686176,competing-channel reordering,1.378876166809821,61.12060613187391,2.0,0.028307083713367653,1.7769399098867327
0.7458333333333333,9,-0.007916141374789399,SURVIVE,5.412536369821211,1.0,0.0,2.5269953684413258,1.2445331435877869,2.54799150833374,competing-channel reordering,1.3034583647459532,51.32262098020094,2.0,0.020996139892414334,2.4098020183369986
0.7397916666666666,9,-0.0054489924679528585,SURVIVE,5.42015450531815,1.0,1.5,2.438152057951776,1.1279382430036886,2.4775826904566127,competing-channel reordering,1.3496444474529241,147.9840374732943,2.0,0.039430632504836804,3.4845802819901275
,9,,STOP,,2.0,-1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,2.0,0.0,,,,zero-kinetic control stopped after ED,,,0.0,,
,9,,STOP,,2.0,1.5,,,,zero-kinetic control stopped after ED,,,0.0,,
0.8639583333333334,9,-0.052406201242993077,STOP,5.167040826488895,2.0,-1.5,1.5577607457387768,1.076844210268017,0.7556981985993877,flat within 2σ with no size-consistent trend,-0.3211460116686292,-1.546834320012648,0.25,-0.8020625471393891,-3.4698740006754356
0.6852083333333333,9,0.35273099752146087,EXTEND,2.395382048470819,2.0,0.0,1.54222401763389,1.1204126413179563,1.5523253642723536,competing-channel reordering; signal present but short-chain quality is marginal,0.4319127229543973,4.454192556963928,0.25,0.010101346638463626,0.1083681047834073
0.8697916666666666,9,0.30414139005077423,STOP,5.357151766243434,2.0,1.5,0.9223057482826157,0.7813948066793736,0.8537185238832349,flat within 2σ with no size-consistent trend,0.07232371720386133,0.1751352065357458,0.25,-0.06858722439938081,-0.15495356446352604
