beta,cell_id,cohort,g_b_over_g_a,m,measure_every,measurement_sweeps,mu,pair_id,paired_budget,pilot_acceptance_max,pilot_acceptance_min,pilot_replicas,production_replicas,projected_ess_per_replica,reason,required_measurement_sweeps,required_warmup_sweeps,status,t,warmup_sweeps,worst_tau_int
4.0,half_filled_core_m04_b04_g025_t025_mu000,half_filled_core,0.25,4,2,944,0.0,,,0.7434375,0.7275,2,4,40.067255949263505,pilot audit passed,,,RUN,0.25,240,5.890096399385145
8.0,half_filled_core_m04_b08_g025_t025_mu000,half_filled_core,0.25,4,2,2334,0.0,,,0.8703125,0.8652604166666666,2,4,40.006871718739625,pilot audit passed,,,RUN,0.25,584,14.584994400516516
4.0,half_filled_core_m06_b04_g025_t025_mu000,half_filled_core,0.25,6,2,1242,0.0,,,0.6147916666666666,0.6071875,2,4,40.061278157341135,pilot audit passed,,,RUN,0.25,312,7.750626397403189
8.0,half_filled_core_m06_b08_g025_t025_mu000,half_filled_core,0.25,6,,,0.0,,,0.798125,0.7855208333333333,2,,,autocorrelation budget cap exceeded,3520,880,STOP,0.25,,21.99428718444746
4.0,half_filled_core_m08_b04_g025_t025_mu000,half_filled_core,0.25,8,2,2340,0.0,,,0.49375,0.48791666666666667,2,4,40.01805773756867,pilot audit passed,,,RUN,0.25,586,14.618400618948733
8.0,half_filled_core_m08_b08_g025_t025_mu000,half_filled_core,0.25,8,,,0.0,,,0.74109375,0.73828125,2,,,autocorrelation budget cap exceeded,3264,816,STOP,0.25,,20.39991953325432
4.0,half_filled_core_m04_b04_g025_t050_mu000,half_filled_core,0.25,4,2,2108,0.0,,,0.7372916666666667,0.7365625,2,4,40.037615560475935,pilot audit passed,,,RUN,0.5,528,13.162622014889427
8.0,half_filled_core_m04_b08_g025_t050_mu000,half_filled_core,0.25,4,2,2770,0.0,,,0.8749479166666667,0.87265625,2,4,40.01205505891549,pilot audit passed,,,RUN,0.5,694,17.307283991795295
4.0,half_filled_core_m06_b04_g025_t050_mu000,half_filled_core,0.25,6,2,1754,0.0,,,0.6248958333333333,0.6196875,2,4,40.002157331249805,pilot audit passed,,,RUN,0.5,440,10.961908788290337
8.0,half_filled_core_m06_b08_g025_t050_mu000,half_filled_core,0.25,6,,,0.0,,,0.8077604166666666,0.8050520833333333,2,,,autocorrelation budget cap exceeded,3396,850,STOP,0.5,,21.213993971871453
4.0,half_filled_core_m08_b04_g025_t050_mu000,half_filled_core,0.25,8,2,2376,0.0,,,0.5169791666666667,0.5119791666666667,2,4,40.02565665505454,pilot audit passed,,,RUN,0.5,594,14.840481072407046
