acceptance_max,acceptance_min,audit_reason,audit_status,beta,budget_plan_digest,cell_id,cell_index,channel_balance_between_replica_stderr,channel_balance_mean,channel_balance_stderr,channel_balance_within_replica_stderr,cohort,correlation_length_over_m_between_replica_stderr,correlation_length_over_m_mean,correlation_length_over_m_stderr,correlation_length_over_m_within_replica_stderr,correlation_length_proxy_between_replica_stderr,correlation_length_proxy_mean,correlation_length_proxy_stderr,correlation_length_proxy_within_replica_stderr,density_between_replica_stderr,density_mean,density_stderr,density_within_replica_stderr,direct_sign_min,dt,energy_between_replica_stderr,energy_mean,energy_stderr,energy_within_replica_stderr,g_a,g_b_over_g_a,m,minimum_ess,mu,near_staggered_structure_between_replica_stderr,near_staggered_structure_mean,near_staggered_structure_stderr,near_staggered_structure_within_replica_stderr,nematic_sq_between_replica_stderr,nematic_sq_mean,nematic_sq_stderr,nematic_sq_within_replica_stderr,pair_id,pilot_decision,pilot_reason,production_replicas,proposal_scale,q_a_binder_between_replica_stderr,q_a_binder_mean,q_a_binder_stderr,q_a_binder_within_replica_stderr,q_a_mean_between_replica_stderr,q_a_mean_mean,q_a_mean_stderr,q_a_mean_within_replica_stderr,q_a_sq_between_replica_stderr,q_a_sq_mean,q_a_sq_stderr,q_a_sq_within_replica_stderr,q_a_susceptibility_between_replica_stderr,q_a_susceptibility_mean,q_a_susceptibility_stderr,q_a_susceptibility_within_replica_stderr,q_b_binder_between_replica_stderr,q_b_binder_mean,q_b_binder_stderr,q_b_binder_within_replica_stderr,q_b_mean_between_replica_stderr,q_b_mean_mean,q_b_mean_stderr,q_b_mean_within_replica_stderr,q_b_sq_between_replica_stderr,q_b_sq_mean,q_b_sq_stderr,q_b_sq_within_replica_stderr,q_b_susceptibility_between_replica_stderr,q_b_susceptibility_mean,q_b_susceptibility_stderr,q_b_susceptibility_within_replica_stderr,q_combined_between_replica_stderr,q_combined_mean,q_combined_stderr,q_combined_within_replica_stderr,realized_measurement_sweeps_max,slices,source_revision,stabilize,staggered_structure_between_replica_stderr,staggered_structure_mean,staggered_structure_stderr,staggered_structure_within_replica_stderr,t,v_asymmetry,weight_log_error_max
0.7271551724137931,0.7259398496240601,all production replicas pass,PASS,4.0,8e1216d271892ab2b13fb3391aff21392d5fd080971b08c22e6fe545e6cb23f0,half_filled_core_m04_b04_g025_t025_mu000,0,0.006665647400738863,-0.6938868378061315,0.007420892794974225,0.007420892794974225,half_filled_core,0.004029139440087808,0.11993049625495222,0.004029139440087808,0.0,0.016116557760351233,0.4797219850198089,0.016116557760351233,0.0,1.6024689053196365e-17,0.49999999999999944,1.6024689053196365e-17,5.741067443572637e-18,1.0,0.2,0.015459709017528708,-7.562732680488519,0.015459709017528708,0.013635340127081653,1.0,0.25,4,40.0302683745601,0.0,0.0074858951563942745,0.2954495481454904,0.0074858951563942745,0.006467432752022672,2.0141387359730018e-05,0.03151255947418169,2.0141387359730018e-05,1.6094840674007508e-05,,RUN,pilot audit passed,4,0.5,3.849074511326292,-13.625874051969056,3.849074511326292,0.0,0.005219626827831652,1.3950221633500317,0.005219626827831652,0.005205337994337906,0.011753077749798956,1.955564141127978,0.011753077749798956,0.011612361504781572,0.027486758710353425,0.014391119245134365,0.027486758710353425,0.0,0.06766319782302012,-0.46434103265018795,0.06766319782302012,0.0,0.013731735325841895,0.5207657834742385,0.013731735325841895,0.01151304195322271,0.010333329167500583,0.35785441955673686,0.010333329167500583,0.008269302840076258,0.07827754849330344,0.24769031907465322,0.07827754849330344,0.0,0.009312054328418536,1.1567092803423575,0.009312054328418536,0.006752048478849681,1994,20,84fc08bddaf2dbe0c6d7853a5877311eb8894f44,True,0.012313552748429664,0.43170935407502664,0.012313552748429664,0.01207782238334168,0.25,0.0,2.1316282072803006e-14
,,"production replica failed status, ESS, or numerical audit",STOP,8.0,,half_filled_core_m04_b08_g025_t025_mu000,1,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,4,,0.0,,,,,,,,,,RUN,pilot audit passed,4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,True,,,,,0.25,0.0,
0.6017460317460317,0.5958815958815958,all production replicas pass,PASS,4.0,8e1216d271892ab2b13fb3391aff21392d5fd080971b08c22e6fe545e6cb23f0,half_filled_core_m06_b04_g025_t025_mu000,2,0.007584501085264165,-0.7471572972286027,0.007584501085264165,0.004911987533969086,half_filled_core,0.004954423866205401,0.2434757742755999,0.004954423866205401,0.0,0.029726543197232388,1.4608546456535993,0.029726543197232388,0.0,1.6024689053196365e-17,0.49999999999999967,1.6024689053196365e-17,5.67250115501851e-18,1.0,0.2,0.025347213880766797,-16.726361872678464,0.025347213880766797,0.014524097881559166,1.0,0.25,6,40.710283380406835,0.0,0.004408331135833003,0.23890143970171737,0.004654906788573278,0.004654906788573278,3.7480955255217426e-06,0.013973388737805573,3.7480955255217426e-06,3.240621216378661e-06,,RUN,pilot audit passed,4,0.5,0.1416403891448794,-1.7951551840121738,0.1416403891448794,0.0,0.003385868293602648,1.6827977353674337,0.003385868293602648,0.0023902737677569687,0.010610224265121114,2.8422460193393,0.010610224265121114,0.007461966617208044,0.017365043288193528,0.009866010369769286,0.017365043288193528,0.0,0.0015295284291008257,0.027323555311775355,0.0015295284291008257,0.0,0.011895334530505114,0.5382827917758484,0.011895334530505114,0.008490373256378875,0.012724942818577861,0.4140314098602036,0.012724942818577861,0.0086297471160988,0.05943520549019633,0.11827986366490462,0.05943520549019633,0.0,0.0030616305740456254,1.6281387145997517,0.00415177991459416,0.00415177991459416,2510,20,84fc08bddaf2dbe0c6d7853a5877311eb8894f44,True,0.015603631342279411,0.74860568472411,0.015603631342279411,0.010969740948249065,0.25,0.0,5.684341886080802e-14
,,pilot early stop: autocorrelation budget cap exceeded,NOT_RUN,8.0,,half_filled_core_m06_b08_g025_t025_mu000,3,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,6,,0.0,,,,,,,,,,STOP,autocorrelation budget cap exceeded,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,True,,,,,0.25,0.0,
,,"production replica failed status, ESS, or numerical audit",STOP,4.0,,half_filled_core_m08_b04_g025_t025_mu000,4,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,8,,0.0,,,,,,,,,,RUN,pilot audit passed,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,True,,,,,0.25,0.0,
,,pilot early stop: autocorrelation budget cap exceeded,NOT_RUN,8.0,,half_filled_core_m08_b08_g025_t025_mu000,5,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,8,,0.0,,,,,,,,,,STOP,autocorrelation budget cap exceeded,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,True,,,,,0.25,0.0,
0.7345030349013657,0.7304628224582701,all production replicas pass,PASS,4.0,8e1216d271892ab2b13fb3391aff21392d5fd080971b08c22e6fe545e6cb23f0,half_filled_core_m04_b04_g025_t050_mu000,6,0.0004834095210420547,-0.6211245962613334,0.0028616735665674456,0.0028616735665674456,half_filled_core,0.0010276810658983566,0.08868219839222327,0.0010276810658983566,0.0,0.004110724263593426,0.3547287935688931,0.004110724263593426,0.0,0.0,0.4999999999999998,6.0414394622130966e-18,6.0414394622130966e-18,1.0,0.2,0.0007467234034778693,-10.604653453264046,0.010121587226193086,0.010121587226193086,1.0,0.25,4,55.8814982379445,0.0,0.0017358738540733981,0.2316468305440077,0.0021199105847078056,0.0021199105847078056,1.4578295964205848e-05,0.03147200044669423,1.4578295964205848e-05,1.0620651509792711e-05,,RUN,pilot audit passed,4,0.5,6.444322135521591,-46.89489517344134,6.444322135521591,0.0,0.0005356025002788095,1.4096562376303663,0.000882259250539843,0.000882259250539843,0.0012953005413956938,1.9891398388763522,0.002129536444279506,0.002129536444279506,0.010633431684849416,0.027472995943486178,0.010633431684849416,0.0,0.29595385255510237,-4.193675492178372,0.29595385255510237,0.0,0.0013162022844143114,0.666783183629732,0.004583855632631482,0.004583855632631482,0.0007451454761169061,0.4676359520620764,0.00426421858437357,0.00426421858437357,0.02629944604509496,-0.006303382866612917,0.02629944604509496,0.0,0.0009063443909633206,1.2283878954692142,0.0024958213626589468,0.0024958213626589468,2108,20,84fc08bddaf2dbe0c6d7853a5877311eb8894f44,True,0.0015615964573976137,0.2899462957542308,0.004277225010774083,0.004277225010774083,0.5,0.0,2.842170943040401e-14
,,"production replica failed status, ESS, or numerical audit",STOP,8.0,,half_filled_core_m04_b08_g025_t050_mu000,7,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,4,,0.0,,,,,,,,,,RUN,pilot audit passed,4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,True,,,,,0.5,0.0,
0.6181385423506238,0.6100957155879672,all production replicas pass,PASS,4.0,8e1216d271892ab2b13fb3391aff21392d5fd080971b08c22e6fe545e6cb23f0,half_filled_core_m06_b04_g025_t050_mu000,8,0.010429075560489488,-0.5442453326911653,0.010429075560489488,0.0056289884498669125,half_filled_core,0.0014933197432813474,0.1842495161901493,0.0014933197432813474,0.0,0.008959918459688099,1.1054970971408957,0.008959918459688099,0.0,1.6024689053196365e-17,0.49999999999999967,1.6024689053196365e-17,5.169233459759216e-18,1.0,0.2,0.007887355697152543,-23.09643611050898,0.01151198199826931,0.01151198199826931,1.0,0.25,6,43.089701666485354,0.0,0.004200997021417647,0.19026520906565048,0.004200997021417647,0.00367548601877776,1.992726359612213e-06,0.013968568159757763,3.6695550544439505e-06,3.6695550544439505e-06,,RUN,pilot audit passed,4,0.5,0.012571718331034125,-0.7621214025973447,0.012571718331034125,0.0,0.004091985750947318,1.634200359568407,0.004091985750947318,0.002542311833160251,0.012405712630207505,2.6903145379856968,0.012405712630207505,0.0077414740857322615,0.01694239179826101,0.007708355445159741,0.01694239179826101,0.0,0.002217772224340815,0.03215544840909623,0.002217772224340815,0.0,0.012194497211645332,0.8334354357759965,0.012194497211645332,0.0067098649104894974,0.01982825883412852,0.798236142441571,0.01982825883412852,0.010777664946028095,0.055926078143030473,0.06327569553842063,0.055926078143030473,0.0,0.003953412774041534,1.744275340213634,0.003953412774041534,0.0031998344652116014,2606,20,84fc08bddaf2dbe0c6d7853a5877311eb8894f44,True,0.011828329156546113,0.4229767999482431,0.011828329156546113,0.006534770352805526,0.5,0.0,5.684341886080802e-14
,,pilot early stop: autocorrelation budget cap exceeded,NOT_RUN,8.0,,half_filled_core_m06_b08_g025_t050_mu000,9,,,,,half_filled_core,,,,,,,,,,,,,,0.2,,,,,1.0,0.25,6,,0.0,,,,,,,,,,STOP,autocorrelation budget cap exceeded,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,True,,,,,0.5,0.0,
