fit_id,classification,accepted,hc,hc_sigma_stat,p_value,covariance_condition,rejection_reasons
historical-inner-all-sizes,primary,True,2.132494402004776,1.6757151341977625e-05,0.5773718194498196,31.491585148160105,
historical-outer-all-sizes,systematic-variant,True,2.132491460567355,1.230243065369222e-05,0.37419393618846697,30.531442796470532,
historical-inner-Lmin12,systematic-variant,True,2.1324835127376387,2.0947057724339097e-05,0.5407032803388045,42.91241773288675,
historical-inner-Lmin14,systematic-variant,True,2.132469284608836,2.7263523201849493e-05,0.4925121341452334,59.342562413145195,
historical-inner-Lmin16,systematic-variant,True,2.132492106881224,3.724493558787443e-05,0.5938000542919032,82.46365903839872,
historical-inner-Lmax28,systematic-variant,True,2.132519234660029,2.3754444322439383e-05,0.6562599803792646,38.39391289080559,
historical-inner-leave-L10-out,systematic-variant,True,2.1324835127376387,2.0947057724339097e-05,0.5407032803388045,42.91241773288675,
historical-inner-leave-L12-out,systematic-variant,True,2.1324947166307737,1.6761241214795162e-05,0.45424973725181084,29.57945897139181,
historical-inner-leave-L14-out,systematic-variant,True,2.132489674793912,1.7127116376022335e-05,0.7885396970110166,30.018666570733963,
historical-inner-leave-L16-out,systematic-variant,True,2.1324974969479027,1.7620351117156255e-05,0.4890669265123283,31.514145099508386,
historical-inner-leave-L18-out,systematic-variant,True,2.132499377573473,1.777072728165625e-05,0.5015581978593497,32.119056863645184,
historical-inner-leave-L20-out,systematic-variant,True,2.1324923097765596,1.742121109032253e-05,0.4868664859193852,31.912484205895577,
historical-inner-leave-L24-out,systematic-variant,True,2.1324945587718815,1.711741061359923e-05,0.5220057172575543,30.465071736342747,
historical-inner-leave-L28-out,systematic-variant,True,2.132483127607686,1.8052844590668652e-05,0.7764104645267462,30.56826134011544,
historical-inner-leave-L32-out,systematic-variant,True,2.132519234660029,2.3754444322439383e-05,0.6562599803792646,38.39391289080559,
historical-inner-no-b1,systematic-variant,False,2.1320696849984597,7.446879229715104e-06,0.0,15.414871884238845,goodness-of-fit
historical-inner-add-c1,systematic-variant,True,2.1324944000396764,1.6821304678734896e-05,0.5473535970068925,31.517384647093422,
modern-inner-all-sizes,systematic-variant,True,2.132491688988164,1.6674454895496414e-05,0.587020661009315,30.940809460479986,
