fit_id,classification,accepted,hc,hc_sigma_stat,p_value,covariance_condition,rejection_reasons
historical-inner-all-sizes,primary,True,4.768213775691879,6.397748100051347e-05,0.8172645769869126,81.03024422854888,
historical-outer-all-sizes,systematic-variant,True,4.76820897322627,4.77107018881801e-05,0.78841741112273,78.45375433545132,
historical-inner-Lmin8,systematic-variant,True,4.76828097406553,9.378095242799792e-05,0.7843898917119098,139.26426492258088,
historical-inner-Lmin10,systematic-variant,True,4.768239125113926,0.00014171602897092387,0.8624324918329193,225.95144811173472,
historical-inner-Lmin12,systematic-variant,True,4.768011603472796,0.00022179050157537406,0.9520666730709835,362.59687824161915,
historical-inner-Lmin14,systematic-variant,True,4.767933833865439,0.00035555836740641607,0.8773745603500694,585.3629132869609,
historical-inner-Lmin16,systematic-variant,True,4.768005228772408,0.000584598085494321,0.9918015214168672,871.2057680696221,
historical-inner-Lmax20,systematic-variant,True,4.768077783380992,0.0002860412730727362,0.560393789597734,203.1227827525956,
historical-inner-Lmax28,systematic-variant,True,4.768228541894917,9.049706743764677e-05,0.6870812623107116,100.18349257337921,
historical-inner-leave-L6-out,systematic-variant,True,4.76828097406553,9.378095242799792e-05,0.7843898917119098,139.26426492258088,
historical-inner-leave-L8-out,systematic-variant,True,4.768247654572811,7.180453332363704e-05,0.9419325744428358,89.46395836619823,
historical-inner-leave-L10-out,systematic-variant,True,4.768208838436621,6.685113877554287e-05,0.7402447365944413,83.98742135336289,
historical-inner-leave-L12-out,systematic-variant,True,4.768213388744892,6.39483806218217e-05,0.8667556934987752,78.06724828121702,
historical-inner-leave-L14-out,systematic-variant,True,4.768212765824788,6.433036321754293e-05,0.9096633084506716,77.57870290904522,
historical-inner-leave-L16-out,systematic-variant,True,4.768200654977515,6.724882663123195e-05,0.8044605513153277,81.44821931272007,
historical-inner-leave-L18-out,systematic-variant,True,4.768194492824528,6.770527383398883e-05,0.7680583650586101,83.35991709493442,
historical-inner-leave-L20-out,systematic-variant,True,4.768216173620505,6.71502169804513e-05,0.6824480054001419,84.14164692852827,
historical-inner-leave-L24-out,systematic-variant,True,4.76822189674481,6.483842459341211e-05,0.8168841275731925,81.93366610842264,
historical-inner-leave-L28-out,systematic-variant,True,4.768206816418337,6.84894898566365e-05,0.6971083627259412,80.08765316201811,
historical-inner-leave-L32-out,systematic-variant,True,4.768228541894917,9.049706743764677e-05,0.6870812623107116,100.18349257337921,
historical-inner-no-b2,systematic-variant,False,4.768470881399177,3.3439787738186736e-05,9.851135975327335e-05,18.308843482283187,goodness-of-fit
historical-inner-add-c1,systematic-variant,True,4.768213427418496,6.419425991671763e-05,0.813561270037651,81.84074072218723,
modern-inner-all-sizes,systematic-variant,True,4.768210278262718,6.369047458974026e-05,0.8153531158543768,80.42867017514911,
