block,m2,m4,Qm,chi,Rp,C1
1,0.15454832652993333,0.02560168820705221,0.9329535240032925,2.592890656631222e6,0.6,6.57450312e6
2,0.11968527627458528,0.016502080194169266,0.8680460395523439,2.0079857320783925e6,-0.29,5.73905887e6
3,0.1321178151588073,0.019969911032345754,0.8740708485913778,2.2165691223673844e6,-0.06,5.95005052e6
4,0.14390540386963835,0.02306501387590555,0.8978431738346692,2.4143320442881584e6,0.11,6.12508292e6
5,0.11840346017588005,0.016759997157912775,0.8364786252366603,1.9864804265181376e6,-0.26,5.45366311e6
6,0.10145379503908288,0.0130318484127652,0.7898244517446943,1.7021122333904218e6,-0.5,5.19313085e6
7,0.16391560238092737,0.02848544396452468,0.9432299786994252,2.7500474669149327e6,0.43,6.59072262e6
8,0.15574079207845742,0.026983362064571893,0.8988944468514335,2.612896908711369e6,0.46,6.53621492e6
9,0.11875151440601157,0.01788187433008311,0.7886154389306478,1.9923198075167679e6,-0.33,5.34464677e6
10,0.11647904764662044,0.016666808432012858,0.8140351883210034,1.9541941418416428e6,-0.28,5.56829557e6
11,0.14287078493697522,0.023082128739403004,0.8843231670249909,2.3969740189771797e6,0.23,6.04406976e6
12,0.131554752752555,0.019710554413051497,0.878039887113786,2.2071225027562096e6,-0.05,5.98396083e6
13,0.1661247017525672,0.029453730369201167,0.9369752553054246,2.7871100042383983e6,0.52,6.62088181e6
14,0.136798792625317,0.021749869882540324,0.8604147870680848,2.2951028924141503e6,0.11,5.99734637e6
15,0.16611921635916402,0.029507088668192186,0.9352191384956938,2.7870179746084283e6,0.48,6.73102843e6
16,0.1516425101679428,0.024749846390453144,0.9291148933718135,2.5441391478697727e6,0.39,6.44231767e6
17,0.1107535197056825,0.015516414236878278,0.7905397432638306,1.8581357228624916e6,-0.62,5.13633361e6
18,0.12461026807289016,0.017501147550679858,0.8872400432161578,2.090613383276782e6,0.07,5.94353284e6
19,0.10621854558475534,0.013531412633304934,0.8337916913694119,1.7820514824812866e6,-0.3,5.28359684e6
20,0.10923493659459879,0.01595980100959903,0.7476453726239661,1.8326581259938884e6,-0.52,5.14711072e6
21,0.1303080830566647,0.020066796951706097,0.8461837009049394,2.186206855987604e6,0.01,5.82501211e6
22,0.16926400068988173,0.03013269897755046,0.9508043720507547,2.839778700598295e6,0.47,6.79591752e6
23,0.12273080199150996,0.018632629096197294,0.8084124725347203,2.0590811748647927e6,-0.21,5.55249265e6
24,0.13620550957346877,0.022013698729277057,0.8427452863018968,2.2851492545041535e6,0.13,5.95405598e6
25,0.1687175097606891,0.03001243374511242,0.9484601729269589,2.8306101042371895e6,0.52,6.74931995e6
26,0.12048716591008116,0.018028085160292407,0.8052523060528942,2.0214392077012681e6,-0.28,5.50693748e6
27,0.1253749101582534,0.01825854078188217,0.8609049477156376,2.1034419487056113e6,0.09,5.75511899e6
28,0.1226204509120771,0.01837082584596537,0.8184593936033251,2.0572297909693145e6,-0.03,5.71335898e6
29,0.14369280288171168,0.022442740020155876,0.9200134021718726,2.4107651915918994e6,0.19,6.25704774e6
30,0.12285247557960574,0.017409512420303058,0.8669243797107384,2.0611225189337707e6,-0.37,5.6520032e6
31,0.12302442224843745,0.020362465227840153,0.7432797699204322,2.0640073053372407e6,-0.27,5.57539807e6
32,0.15905023134826407,0.02687193529023299,0.9413901834279457,2.6684200861797975e6,0.32,6.5461438e6
33,0.1341387471685094,0.02125383648058036,0.8465861449709415,2.2504747352154707e6,-0.14,6.00109684e6
34,0.12217552786110986,0.017237085687676613,0.8659735107549275,2.049765220839858e6,-0.2,5.71226012e6
35,0.14384543074520806,0.02205448650943059,0.9381994877743662,2.4133258622253966e6,0.09,6.14147713e6
36,0.13959369289607096,0.023058998310681922,0.8450670247603788,2.341993537955048e6,0.08,6.00117894e6
37,0.13421297386507589,0.02099396679364432,0.8580142347924836,2.251720052536733e6,-0.03,5.88508088e6
38,0.1546232521872902,0.025347766716580965,0.9432132772996904,2.59414770056864e6,0.26,6.4482315e6
39,0.11009038847039207,0.014968972086039183,0.8096677289461617,1.8470102268916774e6,-0.38,5.27294475e6
40,0.14348733595144125,0.023456475934875896,0.8777369471698816,2.4073180285218954e6,0.08,6.0981552e6
41,0.16434298296446287,0.02857656874551739,0.9451315268175571,2.757217723279114e6,0.53,6.69243817e6
42,0.14532486483937349,0.02313382483704968,0.9129193503168055,2.4381466475809743e6,0.26,6.30807961e6
43,0.13365858866158647,0.02031193614015073,0.8795133166893957,2.242419012230587e6,0.0,5.89942942e6
44,0.1412041802196353,0.021791959837174094,0.9149530680341422,2.369013031647749e6,0.19,6.11513019e6
45,0.14307432624837843,0.023139407491835108,0.8846493947025436,2.4003888755235146e6,0.22,6.11231269e6
46,0.15048167565712475,0.025527152119591178,0.8870842545415424,2.524663576541524e6,0.0,6.31525189e6
47,0.1300219219531992,0.020796269126882653,0.8129198600603981,2.181405869343965e6,-0.24,5.77164383e6
48,0.16118240094492733,0.027231986765296298,0.9540165614166359,2.70419195605165e6,0.5,6.59620078e6
49,0.14920490393482141,0.024784981246534797,0.898209409027161,2.503242901573749e6,0.27,6.31761064e6
50,0.16167230893647214,0.027367448295232296,0.9550738963633522,2.7124112482459233e6,0.32,6.57892319e6
