block,m2,m4,R0,R2,C1
1,0.393997546005249,0.17954142504973428,0.2157,0.4969,2483.219
2,0.3838625776290894,0.17170371129000248,0.2258,0.4832,2448.6897
3,0.38276426012516024,0.17101092809535148,0.2309,0.4713,2441.5769
4,0.37889987049102786,0.16907357678633791,0.234,0.4698,2429.8025
5,0.38810756022930143,0.17501912605490155,0.2231,0.4785,2454.1975
6,0.39080416233539583,0.17717354737975935,0.2144,0.4881,2474.9877
7,0.3901199711084366,0.17585700412516944,0.2175,0.4822,2468.5354
8,0.3919002595901489,0.17764789551446605,0.2199,0.4943,2473.9942
9,0.3891452115058899,0.17524150218843196,0.2261,0.4805,2465.7868
10,0.3778411381483078,0.16916223508315406,0.2448,0.4685,2420.3297
11,0.38382808911800387,0.173042502660739,0.231,0.4776,2445.1971
12,0.393414963555336,0.17935188210678957,0.2183,0.4973,2477.7828
13,0.3827772773742676,0.1714917608723968,0.2283,0.4719,2439.5687
14,0.3884154819726944,0.17628573245660303,0.2258,0.4883,2456.8101
15,0.3896272622346878,0.17733402100157766,0.2248,0.4841,2464.0664
16,0.3800558346748352,0.16997281355540111,0.2384,0.4665,2429.8602
17,0.3824172591686249,0.17210689378731772,0.2302,0.4822,2438.3049
18,0.3831031534433365,0.1730696405608719,0.2347,0.4856,2440.3804
19,0.39194216394424436,0.17822110634675942,0.2192,0.4934,2475.0984
20,0.38300533754825594,0.1718088712039852,0.2301,0.4742,2446.8943
21,0.38635588734149934,0.17515352894803063,0.2285,0.4896,2451.885
22,0.38496119449138644,0.17336557425350185,0.2313,0.4785,2444.5046
23,0.3822538564920425,0.1711141334889149,0.2304,0.4676,2437.2043
24,0.38509644429683687,0.17270518434789964,0.2256,0.4692,2450.8398
25,0.38163718008995057,0.17154798201548616,0.235,0.4699,2435.4748
26,0.38090165088176725,0.1703730066575783,0.2359,0.4671,2434.1585
27,0.3853690965414047,0.17453206293300194,0.225,0.4805,2448.6278
28,0.3929485021829605,0.1785023927662828,0.2173,0.4916,2476.1413
29,0.384112935590744,0.17348476430089607,0.2296,0.4801,2445.755
30,0.3837295912504196,0.17260824086737675,0.233,0.4752,2444.0141
31,0.3914931748867035,0.17791218276690798,0.2183,0.4848,2474.2304
32,0.3814270433425903,0.17066656796610072,0.2304,0.4708,2439.4017
33,0.3849467751979828,0.17293324255772383,0.2297,0.4756,2443.9381
34,0.38393075883388517,0.17247003359140123,0.2311,0.4691,2446.1886
35,0.39293023250103,0.17917135596261397,0.2143,0.489,2476.8423
36,0.38662111690044404,0.17438773006536304,0.2229,0.4887,2454.0411
37,0.38717447729110716,0.17514576484448027,0.224,0.4897,2452.8418
38,0.3839844996452332,0.17305895462929952,0.2305,0.4724,2441.5501
39,0.3935371299982071,0.1786524773543671,0.2158,0.4892,2477.9077
40,0.3966422028064728,0.18074105782898064,0.2129,0.5004,2487.8714
41,0.38750819134712217,0.17458786694912296,0.2271,0.4801,2458.3918
42,0.3809443775892258,0.1704821857920429,0.2366,0.4675,2434.739
43,0.386136208820343,0.1744005926344971,0.2252,0.4853,2453.0588
44,0.38627281477451325,0.17448658033223746,0.2299,0.4819,2454.2501
45,0.3885447943210602,0.17571225244191324,0.2218,0.4765,2459.8215
46,0.389940181684494,0.17707604332232232,0.2197,0.4939,2464.5979
47,0.3920663202285767,0.17870797288866747,0.2229,0.4951,2468.8966
48,0.3912679073572159,0.17742459347411932,0.2133,0.4888,2472.148
49,0.38609588129520417,0.17444563625997334,0.2257,0.4787,2449.1199
50,0.37921337442398073,0.16941072496142048,0.2277,0.4728,2433.8976
51,0.38881911787986756,0.17495666995955275,0.2217,0.4735,2465.627
52,0.3893852979660034,0.1763733791347805,0.221,0.4863,2462.8033
53,0.38971355361938476,0.1766329160505375,0.2191,0.4933,2469.2144
54,0.38879773001670836,0.17601537011926996,0.2236,0.4844,2465.1004
55,0.38783985080718997,0.17462535190094955,0.217,0.4892,2463.9593
56,0.3892549818992615,0.1758077684021007,0.2222,0.4865,2464.7548
57,0.379787667632103,0.17034179171231667,0.2418,0.4706,2424.2898
58,0.38835344500541685,0.1750534305758684,0.227,0.4878,2461.1311
59,0.38085536150932314,0.1702556470392969,0.2282,0.468,2434.407
60,0.38646753487586977,0.174300986584886,0.2249,0.4829,2453.8432
61,0.38114520580768585,0.17102566881155745,0.2322,0.4781,2433.2864
62,0.3896475073814392,0.17706487901083628,0.2166,0.4913,2468.2284
63,0.39853044881820676,0.1834986830459583,0.2125,0.502,2491.5917
64,0.3820251100540161,0.172955356944909,0.2332,0.4773,2434.6522
65,0.3823707926273346,0.17172987779572962,0.2358,0.4729,2433.9775
66,0.3786420954465866,0.1686729607855614,0.2311,0.4727,2427.6083
67,0.388159983086586,0.17494789739219763,0.2187,0.4819,2461.1913
68,0.38984504096508027,0.1773383849385718,0.2174,0.4887,2460.0639
69,0.38219836559295656,0.1711184538542263,0.2283,0.4701,2444.4057
70,0.3842575834751129,0.17297856186051522,0.2287,0.478,2445.5991
71,0.3882358383178711,0.17582552642671903,0.2228,0.4853,2462.35
72,0.39258045148849485,0.17858024455883498,0.2215,0.4929,2474.8002
73,0.3942493062734604,0.1800402118221008,0.2135,0.4967,2477.5608
74,0.39297856743335724,0.17897851622786834,0.2161,0.4944,2472.0552
75,0.3813617069482803,0.17064684565847535,0.2336,0.4663,2434.6935
76,0.3970354649066925,0.1815034067223548,0.2094,0.5028,2491.3899
77,0.3886032162666321,0.17497441640048952,0.2226,0.4879,2462.1558
78,0.38273349957466124,0.17245940546231617,0.2347,0.4772,2438.6332
79,0.3828676018714905,0.1717447523612289,0.2343,0.4693,2437.3465
80,0.39079437818527224,0.17676229974399227,0.2185,0.4853,2469.718
81,0.37946719527244566,0.16965695401602315,0.2352,0.4698,2432.6536
82,0.396382675075531,0.18042171589811343,0.2113,0.4902,2493.6261
83,0.39063064794540403,0.17708744058771506,0.2185,0.4912,2468.3433
84,0.37956656215190887,0.16949406653446306,0.2381,0.4668,2428.3462
85,0.38636764430999754,0.17435294723052594,0.2263,0.4845,2454.4961
86,0.3801991766214371,0.1695291886019791,0.233,0.4673,2433.9789
87,0.3870785474538803,0.17521864634890008,0.2271,0.4741,2453.2082
88,0.3826463446378708,0.17145137149472628,0.2303,0.4768,2445.4747
89,0.3785499797105789,0.16916576868945654,0.2355,0.4711,2432.1572
90,0.38667800579071043,0.17469724994204128,0.2245,0.4845,2454.3117
91,0.38760413892269135,0.1747396579995222,0.2175,0.4848,2459.5832
92,0.38062802443504334,0.16998027309210528,0.2288,0.4679,2437.2668
93,0.38693307540416716,0.17393327673085854,0.2135,0.4921,2461.2736
94,0.3862684286594391,0.1745154999583783,0.2268,0.4799,2454.2035
95,0.3917425381183624,0.1779843339192419,0.2117,0.4944,2468.6022
96,0.38873274846076966,0.17522822673497,0.2144,0.4916,2462.7869
97,0.3797543156385422,0.1697581365928646,0.231,0.4699,2433.035
98,0.38054836611747744,0.16995336145160905,0.2353,0.4648,2432.7998
99,0.3886143469810486,0.17518691329106528,0.2205,0.4865,2466.7853
100,0.3829403852462769,0.17155193657165085,0.2328,0.4734,2443.419
