sigma,L,beta,nseeds,Rp,Rp_seed_se,Qm,Qm_seed_se,chi,chi_seed_se,tau_m2_max
1.750,64,0.327136,2,-1.019095,0.007195,0.6122925398,0.001519155597,396.0063387,3.097177412,4.434937913
1.750,64,0.329136,2,-0.57267,3e-05,0.6990594752,0.0008459518207,540.2993883,0.7803988721,5.363363658
1.750,64,0.331136,2,-0.114955,0.001465,0.7844918839,0.0003806897008,708.0887029,1.177044839,5.988957955
1.750,128,0.327136,2,-1.345275,0.002675,0.5476948743,0.0003096627157,864.9614193,2.153529403,4.395063882
1.750,128,0.329136,2,-0.53124,0.00714,0.7152096755,0.001626320999,1636.932723,6.645898983,6.130599921
1.750,128,0.331136,2,0.36456,0.0065,0.8735320973,0.001583432038,2689.247571,9.896219388,6.873257485
1.750,256,0.327136,2,-1.75933,0.00074,0.4454061377,0.0007279295747,1392.750918,1.083441531,3.120647726
1.750,256,0.329136,2,-0.50906,0.00713,0.7251738258,0.0009456444473,4981.551714,16.73689203,7.216903618
1.750,256,0.331136,2,0.84127,0.00135,0.9548141124,0.0004972916876,10886.11302,13.3916387,7.310636206
1.750,512,0.327136,2,-1.96939,0.00057,0.3708464825,0.0001882157185,1666.59359,15.35328119,1.439167677
1.750,512,0.329136,2,-0.454225,0.003245,0.7419858983,0.0004852533228,15619.4166,14.07302124,8.435902752
1.750,512,0.331136,2,0.99313,3e-05,0.9883847326,6.278301989e-05,44043.22705,9.364997331,6.326258704
1.875,64,0.334985,2,-0.86446,0.0085,0.6553014224,0.0005536550644,502.668887,1.855160757,4.601810091
1.875,64,0.336985,2,-0.40894,0.00504,0.7436036282,0.00140979864,669.8967337,2.099522139,5.086975142
1.875,64,0.338985,2,0.054045,0.005705,0.8246712831,0.001071104852,860.3893959,3.836410332,5.549705798
1.875,128,0.334985,2,-1.233375,0.000925,0.5848411063,0.000981008728,1150.64363,1.22075858,4.687936115
1.875,128,0.336985,2,-0.363505,0.009255,0.7577009101,0.003150814099,2104.646045,13.63337843,6.433400104
1.875,128,0.338985,2,0.469905,0.008895,0.8992001192,0.001530581807,3250.225905,13.79420908,6.214774086
1.875,256,0.334985,2,-1.71282,0.00419,0.4724732006,0.001223529933,1938.523267,20.04019744,3.349481881
1.875,256,0.336985,2,-0.30338,0.00448,0.7740358906,0.001977490797,6734.120235,4.988536456,6.868768275
1.875,256,0.338985,2,0.86162,0.00583,0.9627759544,0.0008968324979,12967.56438,39.97482936,5.984282969
1.875,512,0.334985,2,-1.966515,0.000585,0.3798354167,0.001082170031,2353.415108,18.79269672,1.586209022
1.875,512,0.336985,2,-0.27176,0.00408,0.7852295071,0.001586606964,21596.18047,69.0309382,8.027953821
1.875,512,0.338985,2,0.991745,9.5e-05,0.9896753531,5.473987883e-05,51817.6458,97.03597974,6.075159695
2.000,64,0.342439,2,-0.729875,0.000925,0.6906935419,0.000952424,609.8646525,0.5777193555,4.831383534
2.000,64,0.344439,2,-0.273375,0.001015,0.7753066219,0.0006890451702,795.6218933,0.9548946289,5.182226483
2.000,64,0.346439,2,0.150745,0.001815,0.8484574134,7.32364244e-05,988.9933066,0.2162964404,5.294920787
2.000,128,0.342439,2,-1.11442,0.0044,0.6218126361,0.0006040253546,1462.22364,9.065684592,4.646312197
2.000,128,0.344439,2,-0.21115,0.02142,0.7940175078,0.00535123564,2582.77262,29.21267426,5.904261059
2.000,128,0.346439,2,0.526825,0.000575,0.9136367023,0.001176402642,3738.474323,4.161624458,5.695668442
2.000,256,0.342439,2,-1.64115,0.00362,0.4968424236,0.003351915576,2630.976863,18.76242561,4.003232319
2.000,256,0.344439,2,-0.18811,0.00235,0.8017268862,0.0001058507,8335.67395,1.575287407,7.009625327
2.000,256,0.346439,2,0.86817,0.00081,0.966950923,0.0004384136819,14787.62732,2.034715283,5.751439515
2.000,512,0.342439,2,-1.960565,0.001495,0.3846644438,0.0005374869797,3140.140744,32.48199194,1.737054063
2.000,512,0.344439,2,-0.130795,0.006875,0.8158937775,0.0008726370632,27586.98173,140.1853856,7.643587173
2.000,512,0.346439,2,0.99148,0.00023,0.9908370917,8.866418467e-05,59190.99908,18.37308775,5.368956431
2.500,64,0.367446,2,-0.433825,0.010995,0.7690967277,0.00205804296,952.0912816,8.038472788,4.783032817
2.500,64,0.369446,2,-0.03368,0.00716,0.8364134878,0.001597042873,1153.58738,3.10770792,4.531419901
2.500,64,0.371446,2,0.320305,0.002625,0.8915492095,0.0002197412065,1360.047071,4.845475254,4.741648408
2.500,128,0.367446,2,-0.86324,0.00106,0.6923913737,0.0004997691424,2468.834775,5.487879276,4.9607227
2.500,128,0.369446,2,-0.00506,0.00025,0.8444277631,0.0009734111138,3876.122717,1.728251337,5.580085331
2.500,128,0.371446,2,0.592285,0.005395,0.9328520577,0.0007007191024,5104.406745,14.08504357,4.82726634
2.500,256,0.367446,2,-1.495905,0.000995,0.5538760677,0.002155124649,4878.406268,17.56823382,4.369891483
2.500,256,0.369446,2,0.00267,0.00566,0.8471624361,0.001400265481,12957.37647,36.07608515,5.994515623
2.500,256,0.371446,2,0.86591,0.00122,0.9724022824,0.0002854189467,20049.61409,17.36444303,4.984650123
2.500,512,0.367446,2,-1.94182,0.00068,0.4053482489,0.002052692609,6063.018332,13.83304267,1.980543563
2.500,512,0.369446,2,0.00919,0.00622,0.8520767367,0.001997804299,43577.01924,121.6449289,6.89132832
2.500,512,0.371446,2,0.986925,1.5e-05,0.991593496,1.823227433e-05,79522.63454,11.45415376,4.980002439
