sigma,observable,L,2L,beta_cross,status
1.750,Rp,64,128,0.3288136861,interpolated
1.750,Rp,128,256,0.3290090155,interpolated
1.750,Rp,256,512,0.3291483968,interpolated
1.750,Qm,64,128,0.3287837193,interpolated
1.750,Qm,128,256,0.3292162057,interpolated
1.750,Qm,256,512,0.3294341214,interpolated
1.875,Rp,64,128,0.3368280463,interpolated
1.875,Rp,128,256,0.3370272502,interpolated
1.875,Rp,256,512,0.3373044206,interpolated
1.875,Qm,64,128,0.3368179456,interpolated
1.875,Qm,128,256,0.3372309657,interpolated
1.875,Qm,256,512,0.3375933995,interpolated
2.000,Rp,64,128,0.3443447617,interpolated
2.000,Rp,128,256,0.3446883563,interpolated
2.000,Rp,256,512,0.3448569871,interpolated
2.000,Qm,64,128,0.3442897211,interpolated
2.000,Qm,128,256,0.3449172367,interpolated
2.000,Qm,256,512,0.3451653723,interpolated
2.500,Rp,64,128,0.3696908739,interpolated
2.500,Rp,128,256,0.3699628471,interpolated
2.500,Rp,256,512,0.3701947814,interpolated
2.500,Qm,64,128,0.36975545,interpolated
2.500,Qm,128,256,0.3701665618,interpolated
2.500,Qm,256,512,0.3704351329,interpolated
