sigma,observable,Lmin,model,Oinf,amplitude,shape,rss,AICc,BIC,status
1.750,Rp,64,power,0.5712658817,-1.409986547,0.05,0.0001986268295,NaN,-35.48262525,rankable
1.750,Rp,64,log,-0.1162103601,-2.972595523,0.1,0.0003115211933,NaN,-33.6824671,rankable
1.750,Rp,128,power,0.6103065475,-1.462064734,0.05,0.000192527678,NaN,-25.6658119,underdetermined
1.750,Rp,128,log,-0.06987167006,-3.343696292,0.1,0.0002588065807,NaN,-24.7782887,underdetermined
1.750,Qm,64,power,1.120664509,-0.5187448223,0.05,9.131239185e-06,NaN,-47.80153094,rankable
1.750,Qm,64,log,0.8683918709,-1.098501993,0.1,1.597722232e-05,NaN,-45.56368018,rankable
1.750,Qm,128,power,1.113223711,-0.5088191905,0.05,8.909688021e-06,NaN,-34.88511399,underdetermined
1.750,Qm,128,log,0.8771140166,-1.168352801,0.1,1.410959513e-05,NaN,-33.50596646,underdetermined
1.875,Rp,64,power,0.02308624618,-0.9562089329,0.19,9.734766148e-05,NaN,-38.33518175,rankable
1.875,Rp,64,log,0.1690556883,-3.754453461,0.1,0.000107417299,NaN,-37.94145163,rankable
1.875,Rp,128,power,-0.2368976082,-11.53973352,0.93,1.098525962e-09,NaN,-61.88788977,underdetermined
1.875,Rp,128,log,-0.1701429061,-0.2969318179,27.56175652,1.262359899e-10,NaN,-68.37860408,underdetermined
1.875,Qm,64,power,0.9110588407,-0.3003535802,0.14,2.828254921e-06,NaN,-52.48969705,rankable
1.875,Qm,64,log,0.9164067586,-1.122467642,0.1,4.637784774e-06,NaN,-50.51138926,rankable
1.875,Qm,128,power,0.8092916575,-0.7440225713,0.55,3.098256182e-10,NaN,-65.6850345,underdetermined
1.875,Qm,128,log,0.8452226324,-0.2644091713,6.239765783,2.638384206e-12,NaN,-79.98256329,underdetermined
2.000,Rp,64,power,0.5225113911,-1.152124269,0.09,0.00026865898,NaN,-34.27456522,rankable
2.000,Rp,64,log,0.2816788364,-3.58069627,0.1,0.0002877955475,NaN,-33.9993353,rankable
2.000,Rp,128,power,0.979852385,-1.525449412,0.05,0.0002120049114,NaN,-25.37670335,underdetermined
2.000,Rp,128,log,0.2701592712,-3.488442486,0.1,0.000284537813,NaN,-24.49393321,underdetermined
2.000,Qm,64,power,0.8618506181,-0.2867556387,0.29,1.444896598e-05,NaN,-45.96584518,rankable
2.000,Qm,64,log,0.9155946972,-0.7529399822,0.2921606854,1.39822394e-05,NaN,-46.09718495,rankable
2.000,Qm,128,power,1.118980711,-0.4156122672,0.05,7.788983334e-06,NaN,-35.28840065,underdetermined
2.000,Qm,128,log,0.9260070997,-0.9534316916,0.1,1.170079693e-05,NaN,-34.06756081,underdetermined
2.500,Rp,64,power,0.0105266277,-16.17589453,1.42,4.62249786e-06,NaN,-50.52459571,rankable
2.500,Rp,64,log,0.02272961882,-0.0394712304,31.76989663,2.032313223e-06,NaN,-53.81163794,rankable
2.500,Rp,128,power,0.04358714624,-0.1636398724,0.25,7.748128416e-11,NaN,-69.84295411,underdetermined
2.500,Rp,128,log,0.08271757319,-0.6280674911,0.1,3.929548761e-10,NaN,-64.97197899,underdetermined
2.500,Qm,64,power,0.859042193,-0.202979222,0.53,2.37640902e-06,NaN,-53.18597446,rankable
2.500,Qm,64,log,0.8704760308,-0.08899322553,4.635969473,2.161623412e-06,NaN,-53.56489852,rankable
2.500,Qm,128,power,0.95806975,-0.1453262083,0.05,8.909256103e-07,NaN,-41.79301471,underdetermined
2.500,Qm,128,log,0.8906035435,-0.3334658459,0.1,1.355186663e-06,NaN,-40.53471406,underdetermined
