sigma,L,beta,Rp,Rp_seed_se,Qm,Qm_seed_se,chi,tau_m2_max
1.75,64,0.327136,-1.019095,0.0071949999999999514,0.6122925398031167,0.0015191555971981185,396.0063387109375,4.434937913290691
1.75,64,0.329136,-0.57267,2.999999999997449e-05,0.6990594751933943,0.0008459518207263872,540.299388305664,5.3633636582391615
1.75,64,0.331136,-0.11495499999999997,0.0014649999999999939,0.7844918838734362,0.0003806897007865295,708.0887028857421,5.988957954789244
1.75,128,0.327136,-1.345275,0.0026749999999999825,0.5476948742664083,0.000309662715729686,864.9614192565919,4.395063882042119
1.75,128,0.329136,-0.53124,0.007140000000000035,0.7152096755051935,0.0016263209986605574,1636.9327226062012,6.1305999213003854
1.75,128,0.331136,0.36456,0.006500000000000033,0.8735320972517865,0.0015834320378890208,2689.2475710510253,6.873257484821232
1.75,256,0.327136,-1.75933,0.0007399999999999629,0.44540613768755843,0.0007279295747197045,1392.7509177493287,3.120647726159905
1.75,256,0.329136,-0.5090600000000001,0.007130000000000025,0.7251738257960704,0.0009456444473282533,4981.551713818359,7.216903617926508
1.75,256,0.331136,0.84127,0.0013499999999999621,0.9548141123878255,0.0004972916876206934,10886.11301824127,7.310636205628091
1.875,64,0.334985,-0.86446,0.008500000000000008,0.6553014223791491,0.0005536550643529535,502.66888696777346,4.601810091262582
1.875,64,0.336985,-0.40893999999999997,0.005039999999999989,0.7436036282295417,0.0014097986403284744,669.8967337207031,5.086975141927036
1.875,64,0.338985,0.05404499999999998,0.005704999999999987,0.8246712830561107,0.0010711048520525843,860.3893959375,5.549705797745135
1.875,128,0.334985,-1.233375,0.0009250000000001757,0.5848411063216987,0.0009810087279887856,1150.6436298986816,4.687936114639411
1.875,128,0.336985,-0.36350499999999997,0.009255000000000013,0.7577009101114902,0.0031508140990352262,2104.6460445336916,6.433400104121065
1.875,128,0.338985,0.469905,0.008894999999999985,0.8992001192290788,0.001530581806778619,3250.2259049304203,6.214774085788235
1.875,256,0.334985,-1.71282,0.004189999999999916,0.47247320061357334,0.0012235299328124671,1938.5232674057006,3.3494818809973372
1.875,256,0.336985,-0.30338,0.004479999999999984,0.7740358905572498,0.0019774907970371847,6734.120234640197,6.868768274544465
1.875,256,0.338985,0.86162,0.005830000000000002,0.9627759544264044,0.0008968324978653186,12967.564375917053,5.984282968886087
2.0,64,0.342439,-0.729875,0.000925000000000009,0.6906935419306997,0.0009524239999918471,609.8646524511719,4.831383533910204
2.0,64,0.344439,-0.27337500000000003,0.0010150000000000159,0.7753066218558056,0.0006890451702322163,795.62189328125,5.182226483073607
2.0,64,0.346439,0.150745,0.0018150000000000386,0.8484574134093554,7.323642440243416e-05,988.9933065576172,5.294920787154871
2.0,128,0.342439,-1.11442,0.0043999999999999595,0.6218126360840068,0.0006040253545765983,1462.2236404492187,4.646312197041315
2.0,128,0.344439,-0.21114999999999998,0.02142000000000002,0.7940175078351643,0.00535123564004386,2582.772619916992,5.904261058802786
2.0,128,0.346439,0.5268249999999999,0.0005750000000000477,0.9136367022795591,0.0011764026415114759,3738.4743226904297,5.695668442293344
2.0,256,0.342439,-1.64115,0.003620000000000067,0.4968424236039276,0.003351915575976777,2630.9768625698853,4.003232319267759
2.0,256,0.344439,-0.18810999999999997,0.002349999999999991,0.8017268862259639,0.00010585069996144057,8335.673949806518,7.009625327133042
2.0,256,0.346439,0.86817,0.0008099999999999773,0.9669509230110738,0.0004384136819428064,14787.627322532959,5.7514395150414614
2.5,64,0.367446,-0.433825,0.010995000000000059,0.769096727668334,0.0020580429603754835,952.0912816162108,4.783032817005111
2.5,64,0.369446,-0.03367999999999999,0.00716,0.8364134877500884,0.0015970428726544972,1153.5873803417967,4.531419900753455
2.5,64,0.371446,0.32030499999999995,0.0026250000000000158,0.8915492095299913,0.00021974120654516538,1360.047071201172,4.741648408317867
2.5,128,0.367446,-0.86324,0.0010600000000000054,0.692391373679943,0.0004997691424262207,2468.834774591064,4.960722699888125
2.5,128,0.369446,-0.005060000000000037,0.0002500000000000002,0.8444277631320786,0.0009734111138209877,3876.1227174353025,5.580085330556553
2.5,128,0.371446,0.592285,0.005395000000000039,0.932852057704021,0.0007007191023725711,5104.406744532471,4.827266339919963
2.5,256,0.367446,-1.495905,0.000995000000000079,0.553876067683799,0.002155124648741846,4878.4062680548095,4.369891482506522
2.5,256,0.369446,0.0026700000000000057,0.0056599999999999975,0.8471624360538752,0.0014002654808581425,12957.376469917603,5.994515622733402
2.5,256,0.371446,0.86591,0.0012199999999999434,0.9724022823810021,0.00028541894670469636,20049.614086080015,4.984650123387343
