sigma,observable,L,2L,beta_cross,status
1.75,Rp,64,128,0.32881368613846845,interpolated
1.75,Rp,128,256,0.3290090155166252,interpolated
1.75,Qm,64,128,0.3287837192695786,interpolated
1.75,Qm,128,256,0.3292162057411926,interpolated
1.875,Rp,64,128,0.33682804630838986,interpolated
1.875,Rp,128,256,0.3370272501798368,interpolated
1.875,Qm,64,128,0.3368179456448475,interpolated
1.875,Qm,128,256,0.3372309656698443,interpolated
2.0,Rp,64,128,0.34434476170912076,interpolated
2.0,Rp,128,256,0.3446883563344181,interpolated
2.0,Qm,64,128,0.34428972109799066,interpolated
2.0,Qm,128,256,0.3449172366559311,interpolated
2.5,Rp,64,128,0.36969087390604916,interpolated
2.5,Rp,128,256,0.36996284707249705,interpolated
2.5,Qm,64,128,0.36975545002048443,interpolated
2.5,Qm,128,256,0.37016656175449264,interpolated
