block,m2,Rp,C1
1,0.13144907307624817,-0.5664,1356.069
2,0.13400181679725648,-0.5738,1369.7642
3,0.12932975373268127,-0.5806,1338.5252
4,0.13152078294754027,-0.5362,1358.1544
5,0.1316518829345703,-0.5766,1355.4118
6,0.1280475494861603,-0.6316,1329.7712
7,0.13652771310806275,-0.53,1380.3818
8,0.13884492506980897,-0.5036,1396.0326
9,0.1312550649166107,-0.5678,1355.4298
10,0.13339357209205627,-0.5682,1365.5528
11,0.12631243567466735,-0.624,1325.6206
12,0.1438079406261444,-0.4484,1430.6902
13,0.12875724744796752,-0.5608,1343.2264
14,0.12873867220878601,-0.6054,1338.0408
15,0.1227528796672821,-0.682,1305.1762
16,0.13040553402900695,-0.583,1342.2438
17,0.13085714025497436,-0.6142,1347.2082
18,0.13429778113365173,-0.547,1373.7534
19,0.13040534105300902,-0.5796,1346.4384
20,0.1320129593372345,-0.5736,1353.8468
