sigma,L,beta,observable,value,se,nseeds
1.75,64,0.329136,Qm,0.699059475193,0.000845951820726,2
1.75,128,0.329136,Qm,0.715209675505,0.00162632099866,2
1.75,256,0.329136,Qm,0.725173825796,0.000945644447328,2
1.75,512,0.329136,Qm,0.741985898335,0.000485253322803,2
1.75,768,0.329136,Qm,0.741349217929,0.000449521710204,2
1.75,1024,0.329136,Qm,0.750220837868,0.00202327390221,2
1.75,1536,0.329136,Qm,0.757621779363,0.00389273318251,2
1.75,2048,0.329136,Qm,0.764863473427,0.0021370491915,2
1.75,64,0.329136,Rp,-0.57267,3e-05,2
1.75,128,0.329136,Rp,-0.53124,0.00714,2
1.75,256,0.329136,Rp,-0.50906,0.00713,2
1.75,512,0.329136,Rp,-0.454225,0.003245,2
1.75,768,0.329136,Rp,-0.4565,0.0067,2
1.75,1024,0.329136,Rp,-0.42944,0.000786666666667,2
1.75,1536,0.329136,Rp,-0.383071428571,0.0160714285714,2
1.75,2048,0.329136,Rp,-0.3768,0.00155,2
1.875,64,0.336985,Qm,0.74360362823,0.00140979864033,2
1.875,128,0.336985,Qm,0.757700910111,0.00315081409904,2
1.875,256,0.336985,Qm,0.774035890557,0.00197749079704,2
1.875,512,0.336985,Qm,0.785229507067,0.00158660696421,2
1.875,768,0.336985,Qm,0.790507767592,0.00300214938304,2
1.875,1024,0.336985,Qm,0.797699233996,0.00126633498763,2
1.875,1536,0.336985,Qm,0.799991386298,0.00381211356339,2
1.875,2048,0.336985,Qm,0.80589360221,0.00173734427422,2
1.875,64,0.336985,Rp,-0.40894,0.00504,2
1.875,128,0.336985,Rp,-0.363505,0.009255,2
1.875,256,0.336985,Rp,-0.30338,0.00448,2
1.875,512,0.336985,Rp,-0.27176,0.00408,2
1.875,768,0.336985,Rp,-0.25439,0.01538,2
1.875,1024,0.336985,Rp,-0.235406666667,0.00404666666667,2
1.875,1536,0.336985,Rp,-0.225228571429,0.0202857142857,2
1.875,2048,0.336985,Rp,-0.188525,0.010275,2
2,64,0.344439,Qm,0.775306621856,0.000689045170232,2
2,128,0.344439,Qm,0.794017507835,0.00535123564004,2
2,256,0.344439,Qm,0.801726886226,0.000105850699961,2
2,512,0.344439,Qm,0.815893777464,0.000872637063169,2
2,768,0.344439,Qm,0.820711678413,0.00216402843556,2
2,1024,0.344439,Qm,0.820230147164,0.00253132348015,2
2,1536,0.344439,Qm,0.827837779983,0.00416200374254,2
2,2048,0.344439,Qm,0.834736805429,0.00110662603859,2
2,64,0.344439,Rp,-0.273375,0.001015,2
2,128,0.344439,Rp,-0.21115,0.02142,2
2,256,0.344439,Rp,-0.18811,0.00235,2
2,512,0.344439,Rp,-0.130795,0.006875,2
2,768,0.344439,Rp,-0.12031,0.01018,2
2,1024,0.344439,Rp,-0.12644,0.01492,2
2,1536,0.344439,Rp,-0.0907428571429,0.0146857142857,2
2,2048,0.344439,Rp,-0.076125,0.001875,2
2.5,64,0.369446,Qm,0.83641348775,0.00159704287265,2
2.5,128,0.369446,Qm,0.844427763132,0.000973411113821,2
2.5,256,0.369446,Qm,0.847162436054,0.00140026548086,2
2.5,512,0.369446,Qm,0.852076736657,0.00199780429895,2
2.5,768,0.369446,Qm,0.85102033484,0.000494097730257,2
2.5,1024,0.369446,Qm,0.856126911698,NaN,1
2.5,1536,0.369446,Qm,0.852576968862,0.00256904003341,2
2.5,2048,0.369446,Qm,0.853513341288,NaN,1
2.5,64,0.369446,Rp,-0.03368,0.00716,2
2.5,128,0.369446,Rp,-0.00506,0.00025,2
2.5,256,0.369446,Rp,0.00267,0.00566,2
2.5,512,0.369446,Rp,0.00919,0.00622,2
2.5,768,0.369446,Rp,0.003185,0.005345,2
2.5,1024,0.369446,Rp,0.0413733333333,NaN,1
2.5,1536,0.369446,Rp,0.00941428571429,0.0173,2
2.5,2048,0.369446,Rp,0.01065,NaN,1
