sigma,observable,Lmin,Lmax,first_3sigma_L,max_separation_z,assumed_future_se
1.75,Rp,64,2048,>65536,1.863803441,0.00248625
1.75,Rp,128,2048,>65536,1.00177808928,0.00248625
1.75,Rp,256,2048,>65536,0.570041528991,0.00248625
1.75,Rp,512,2048,>65536,0.334217027211,0.00248625
1.75,Qm,64,2048,>65536,0.165211506446,0.0021370491915
1.75,Qm,128,2048,>65536,0.47069136819,0.0021370491915
1.75,Qm,256,2048,>65536,0.311100539279,0.0021370491915
1.75,Qm,512,2048,>65536,0.207866408904,0.0021370491915
1.875,Rp,64,2048,>65536,0.203990302848,0.010275
1.875,Rp,128,2048,>65536,0.0447031691956,0.010275
1.875,Rp,256,2048,>65536,0.301003696349,0.010275
1.875,Rp,512,2048,>65536,0.139268388801,0.010275
1.875,Qm,64,2048,>65536,0.256729772012,0.00173734427422
1.875,Qm,128,2048,>65536,0.190806982692,0.00173734427422
1.875,Qm,256,2048,>65536,0.0858461321009,0.00173734427422
1.875,Qm,512,2048,>65536,0.170213732392,0.00173734427422
2,Rp,64,2048,>65536,0.163939115459,0.0146857142857
2,Rp,128,2048,>65536,0.224310710938,0.0146857142857
2,Rp,256,2048,>65536,0.338927619285,0.0146857142857
2,Rp,512,2048,>65536,0.0712193415141,0.0146857142857
2,Qm,64,2048,>65536,0.270682159223,0.00253132348015
2,Qm,128,2048,>65536,0.226899638252,0.00253132348015
2,Qm,256,2048,>65536,0.275161728415,0.00253132348015
2,Qm,512,2048,>65536,0.121766520193,0.00253132348015
2.5,Rp,64,2048,>65536,1.08036546878,0.00297
2.5,Rp,128,2048,>65536,0.434942759587,0.00297
2.5,Rp,256,2048,>65536,0.0902494034421,0.00297
2.5,Rp,512,2048,>65536,0.112146926634,0.00297
2.5,Qm,64,2048,>65536,0.971134118608,0.000749327088378
2.5,Qm,128,2048,>65536,0.448901433278,0.000749327088378
2.5,Qm,256,2048,>65536,0.389842626248,0.000749327088378
2.5,Qm,512,2048,>65536,0.369459826793,0.000749327088378
