sigma,observable,Lmin,Lmax,n,model,limit,p1,p2,chi2,AICc,BIC,LOO_chi2,loo_failures,limit_boot_p16,limit_boot_p84,bootstrap_failures
1.75,Rp,64,2048,8,power,2.26903547287,-3.09015691856,0.02,35.3349138427,47.3349138427,41.5732384677,141.393661418,0,2.22326429616,2.3176992534,0
1.75,Rp,64,2048,8,marginal,0.336826688308,-12.2091620142,0.0001,59.895082088,71.895082088,66.133406713,274.42339447,0,0.323118795047,0.35062191653,0
1.75,Rp,128,2048,7,power,2.43222197561,-3.27808145515,0.02,31.9341800293,45.9341800293,37.7719104764,140.798213815,0,2.33569228829,2.52680135748,0
1.75,Rp,128,2048,7,marginal,0.450881080539,-14.0601781894,0.0001,42.9097138104,56.9097138104,48.7474442576,154.797186618,0,0.419363117228,0.480865356494,0
1.75,Rp,256,2048,6,power,2.57908689834,-3.44743267602,0.02,27.8240421137,45.8240421137,33.1993205214,278.105717265,0,2.45844795897,2.70320014216,0
1.75,Rp,256,2048,6,marginal,0.529632172053,-15.3441191656,0.0001,32.3845586509,50.3845586509,37.7598370586,268.564978539,0,0.493004741543,0.570215144858,0
1.75,Rp,512,2048,5,power,2.54774098595,-3.41122765793,0.02,27.6359190016,57.6359190016,32.4642327389,386.555085497,0,2.42154894105,2.70561653537,0
1.75,Rp,512,2048,5,marginal,0.534552840434,-15.4247824018,0.0001,32.3434560475,62.3434560475,37.1717697848,415.908649712,0,0.491431698384,0.581193920545,0
1.75,Qm,64,2048,8,power,0.842065403169,-0.27183851037,0.154792173079,71.6434090285,83.6434090285,77.8817336535,257.001052244,0,0.813684129535,0.891897834852,0
1.75,Qm,64,2048,8,marginal,0.947260398163,-2.73489292091,0.00104160156863,71.3328194346,83.3328194346,77.5711440596,210.2589981,0,0.895290427023,0.988793343496,0
1.75,Qm,128,2048,7,power,1.00809215958,-0.390608028238,0.059348830812,70.5101689778,84.5101689778,76.347899425,242.073164638,0,0.825744915599,1.54519338628,0
1.75,Qm,128,2048,7,marginal,0.98238296631,-3.76698186754,0.0001,70.8491997467,84.8491997467,76.6869301939,225.700169107,0,0.905786313273,0.991266870631,0
1.75,Qm,256,2048,6,power,1.01302082944,-0.395065665143,0.0582647235469,70.5100829971,88.5100829971,75.8853614048,383.187630587,0,0.792209561078,1.552918507,0
1.75,Qm,256,2048,6,marginal,0.986969448545,-3.83893904551,0.0001,70.521017484,88.521017484,75.8962958917,350.358896404,0,0.8140347311,0.9936287191,0
1.75,Qm,512,2048,5,power,1.34531388202,-0.686001355565,0.02,56.8941000939,86.8941000939,61.7224138312,778.443371421,0,1.2825504065,1.41135616689,0
1.75,Qm,512,2048,5,marginal,0.933236614061,-2.98859000219,0.0001,60.4805089861,90.4805089861,65.3088227234,859.004161508,0,0.909907674707,0.954114190226,0
1.875,Rp,64,2048,8,power,0.019635403769,-0.94202980468,0.189592105497,5.53995945745,17.5399594574,11.7782840825,18.7381537348,0,-0.0761270635906,0.217896624068,0
1.875,Rp,64,2048,8,marginal,0.324723994678,-6.48313517426,0.00928018161448,5.36278411891,17.3627841189,11.6011087439,13.9551411189,0,0.147478775125,0.594112419207,0
1.875,Rp,128,2048,7,power,0.124507065845,-0.935679030483,0.138583055426,5.42343730415,19.4234373042,11.2611677513,23.2654188456,0,-0.0994127891673,2.40696441865,0
1.875,Rp,128,2048,7,marginal,0.430779983723,-9.00897539548,0.00132264889946,5.33184264755,19.3318426475,11.1695730947,20.5290454646,0,0.0334343175547,0.590185519518,0
1.875,Rp,256,2048,6,power,2.28851038911,-2.89829184546,0.02,2.12456686303,20.124566863,7.49984527071,6.99647691698,0,1.98785601511,2.45831133118,0
1.875,Rp,256,2048,6,marginal,0.529472139449,-12.3319900565,0.0001,3.36977343823,21.3697734382,8.74505184591,13.0800083685,0,0.464445002897,0.581588754733,0
1.875,Rp,512,2048,5,power,2.53253304326,-3.1780451517,0.02,1.21072134168,31.2107213417,6.03903507899,12.484354134,0,0.308063384724,2.79913356585,0
1.875,Rp,512,2048,5,marginal,0.641081499705,-14.1203146579,0.0001,1.56362450341,31.5636245034,6.39193824072,16.4066463757,0,0.457154487221,0.736611228225,0
1.875,Qm,64,2048,8,power,0.876388829285,-0.28625389987,0.184421068273,1.99257680598,13.992576806,8.23090143102,9.13512872373,0,0.850187300183,0.921954159964,0
1.875,Qm,64,2048,8,marginal,0.975982149398,-2.17465119501,0.00555432588986,2.05855313052,14.0585531305,8.29687775556,12.6509537098,0,0.92324614533,1.0482814804,0
