block,m2,Rp,C1
1,0.02035071051318664,-1.6808,119002.192
2,0.019158724316574324,-1.7136,116037.4624
3,0.019342577472909277,-1.6984,116878.07546666666
4,0.019502275507639083,-1.708,117387.82746666667
5,0.0183511874873812,-1.7109333333333334,113797.34373333333
6,0.020456124088392244,-1.6688,120884.96773333334
7,0.017837078407474716,-1.7368,111951.55893333333
8,0.018455294106296302,-1.7381333333333333,113409.104
9,0.01859553987440401,-1.7096,114682.77226666667
10,0.020058211047394435,-1.6885333333333334,119926.19146666667
11,0.017701664007815997,-1.7418666666666667,110855.82373333334
12,0.01925370865613028,-1.7144,115827.9064
13,0.017296728509525808,-1.7514666666666667,109344.80666666667
14,0.018857773292582716,-1.7237333333333333,115616.992
15,0.021120507831324357,-1.6544,121240.9688
16,0.01941234992389412,-1.7082666666666666,116969.52826666666
17,0.019741342855663,-1.6834666666666667,119361.5088
18,0.019132593485762482,-1.7221333333333333,115223.2816
19,0.02088562438621205,-1.6850666666666667,122840.1776
20,0.021394013719496435,-1.6605333333333334,122113.2576
